task,seed,law,law_arm,critic,operator,D,D_se_states,raw_norm_median,n_zero_norm,saturation,M,R,S_eval,u_sha256
walker,301,A,PW,PW,PW-32,0.014976244419813156,0.0016370234079658985,0.3885481059551239,0,0.006282145157456398,32,200,128,a4c79a0900932abbb8ab1843dae4daced432fadaf1b5abcb917c4c0bd7c8508e
walker,301,A,PW,PW,PW-1,0.277576208114624,0.015053891576826572,0.4298829436302185,0,0.006282145157456398,1,200,128,a4c79a0900932abbb8ab1843dae4daced432fadaf1b5abcb917c4c0bd7c8508e
walker,301,A,PW,PW,ZO-32,0.21819652616977692,0.011402956210076809,0.4047907590866089,0,0.006282145157456398,32,200,128,a4c79a0900932abbb8ab1843dae4daced432fadaf1b5abcb917c4c0bd7c8508e
walker,301,A,PW,PW,WML-32,0.2909665107727051,0.003543401136994362,1.009019136428833,0,0.006282145157456398,32,200,128,a4c79a0900932abbb8ab1843dae4daced432fadaf1b5abcb917c4c0bd7c8508e
walker,301,A,PW,WML,PW-32,0.012739413417875767,0.0013897580793127418,1.329153299331665,0,0.006282145157456398,32,200,128,a4c79a0900932abbb8ab1843dae4daced432fadaf1b5abcb917c4c0bd7c8508e
walker,301,A,PW,WML,PW-1,0.23663365840911865,0.013509660959243774,1.2406573295593262,0,0.006282145157456398,1,200,128,a4c79a0900932abbb8ab1843dae4daced432fadaf1b5abcb917c4c0bd7c8508e
walker,301,A,PW,WML,ZO-32,0.22580209374427795,0.011771224439144135,1.3514788150787354,0,0.006282145157456398,32,200,128,a4c79a0900932abbb8ab1843dae4daced432fadaf1b5abcb917c4c0bd7c8508e
walker,301,A,PW,WML,WML-32,0.31544986367225647,0.004100630059838295,1.0418226718902588,0,0.006282145157456398,32,200,128,a4c79a0900932abbb8ab1843dae4daced432fadaf1b5abcb917c4c0bd7c8508e
walker,301,B,WML,PW,PW-32,0.10971026122570038,0.012982934713363647,0.02787473425269127,0,0.5800012350082397,32,200,128,a4c79a0900932abbb8ab1843dae4daced432fadaf1b5abcb917c4c0bd7c8508e
walker,301,B,WML,PW,PW-1,0.5733872652053833,0.02465810626745224,0.024829817935824394,487,0.5800012350082397,1,200,128,a4c79a0900932abbb8ab1843dae4daced432fadaf1b5abcb917c4c0bd7c8508e
walker,301,B,WML,PW,ZO-32,0.6464452743530273,0.02756231278181076,0.0740690529346466,0,0.5800012350082397,32,200,128,a4c79a0900932abbb8ab1843dae4daced432fadaf1b5abcb917c4c0bd7c8508e
walker,301,B,WML,PW,WML-32,0.3716268539428711,0.004518009722232819,0.9185322523117065,0,0.5800012350082397,32,200,128,a4c79a0900932abbb8ab1843dae4daced432fadaf1b5abcb917c4c0bd7c8508e
walker,301,B,WML,WML,PW-32,0.16623979806900024,0.01582168973982334,0.07043616473674774,0,0.5800012350082397,32,200,128,a4c79a0900932abbb8ab1843dae4daced432fadaf1b5abcb917c4c0bd7c8508e
walker,301,B,WML,WML,PW-1,0.6634460687637329,0.022617464885115623,0.040374089032411575,487,0.5800012350082397,1,200,128,a4c79a0900932abbb8ab1843dae4daced432fadaf1b5abcb917c4c0bd7c8508e
walker,301,B,WML,WML,ZO-32,0.6864731311798096,0.027998629957437515,0.212880939245224,0,0.5800012350082397,32,200,128,a4c79a0900932abbb8ab1843dae4daced432fadaf1b5abcb917c4c0bd7c8508e
walker,301,B,WML,WML,WML-32,0.3940778970718384,0.006240553222596645,0.8885594606399536,0,0.5800012350082397,32,200,128,a4c79a0900932abbb8ab1843dae4daced432fadaf1b5abcb917c4c0bd7c8508e
walker,302,A,PW,PW,PW-32,0.015333281829953194,0.001576172886416316,0.40954411029815674,0,0.006967366673052311,32,200,128,81e41c81497dfd82f1531887a1d3b60291f03956f0dfc5da47e6c4744c9d4eea
walker,302,A,PW,PW,PW-1,0.2978943884372711,0.01352351438254118,0.47402894496917725,0,0.006967366673052311,1,200,128,81e41c81497dfd82f1531887a1d3b60291f03956f0dfc5da47e6c4744c9d4eea
walker,302,A,PW,PW,ZO-32,0.2246549129486084,0.00838509202003479,0.44031161069869995,0,0.006967366673052311,32,200,128,81e41c81497dfd82f1531887a1d3b60291f03956f0dfc5da47e6c4744c9d4eea
walker,302,A,PW,PW,WML-32,0.29578518867492676,0.0037695367354899645,0.996046781539917,0,0.006967366673052311,32,200,128,81e41c81497dfd82f1531887a1d3b60291f03956f0dfc5da47e6c4744c9d4eea
walker,302,A,PW,WML,PW-32,0.012063704431056976,0.0012042649323120713,1.4969055652618408,0,0.006967366673052311,32,200,128,81e41c81497dfd82f1531887a1d3b60291f03956f0dfc5da47e6c4744c9d4eea
walker,302,A,PW,WML,PW-1,0.24548354744911194,0.013332202099263668,1.5901339054107666,0,0.006967366673052311,1,200,128,81e41c81497dfd82f1531887a1d3b60291f03956f0dfc5da47e6c4744c9d4eea
walker,302,A,PW,WML,ZO-32,0.22700726985931396,0.009477141313254833,1.6110038757324219,0,0.006967366673052311,32,200,128,81e41c81497dfd82f1531887a1d3b60291f03956f0dfc5da47e6c4744c9d4eea
walker,302,A,PW,WML,WML-32,0.3246676027774811,0.004779959097504616,1.0513713359832764,0,0.006967366673052311,32,200,128,81e41c81497dfd82f1531887a1d3b60291f03956f0dfc5da47e6c4744c9d4eea
walker,302,B,WML,PW,PW-32,0.1142210140824318,0.014958144165575504,0.04825612157583237,0,0.5512621998786926,32,200,128,81e41c81497dfd82f1531887a1d3b60291f03956f0dfc5da47e6c4744c9d4eea
walker,302,B,WML,PW,PW-1,0.6060536503791809,0.024160396307706833,0.04154510051012039,541,0.5512621998786926,1,200,128,81e41c81497dfd82f1531887a1d3b60291f03956f0dfc5da47e6c4744c9d4eea
walker,302,B,WML,PW,ZO-32,0.5891323089599609,0.026422828435897827,0.09187518060207367,0,0.5512621998786926,32,200,128,81e41c81497dfd82f1531887a1d3b60291f03956f0dfc5da47e6c4744c9d4eea
walker,302,B,WML,PW,WML-32,0.37996500730514526,0.006010039243847132,0.9244009256362915,0,0.5512621998786926,32,200,128,81e41c81497dfd82f1531887a1d3b60291f03956f0dfc5da47e6c4744c9d4eea
walker,302,B,WML,WML,PW-32,0.17597734928131104,0.019024033099412918,0.11400273442268372,0,0.5512621998786926,32,200,128,81e41c81497dfd82f1531887a1d3b60291f03956f0dfc5da47e6c4744c9d4eea
walker,302,B,WML,WML,PW-1,0.6995558738708496,0.01969989947974682,0.08800177276134491,541,0.5512621998786926,1,200,128,81e41c81497dfd82f1531887a1d3b60291f03956f0dfc5da47e6c4744c9d4eea
