task,arm,seed,kl_sampled,kl_analytic,bias,rmse,corr,gate_op,gate_kl,kl_q90,lag,sigma,sat,ess
walker,PW-1,301,0.08684395,0.08711485,-0.00027089566,0.0015901143,0.989909095919091,0.54786175,0.45213827,0.26840925,0.02680861,0.51933146,4.4024182e-05,0.0
walker,WML-32,301,0.086821735,0.0912819,-0.0044601704,0.0046285735,0.995193791517673,0.5541356,0.44586435,0.25215095,0.34517914,1.9838306,0.082269035,20.608479
walker,PW-1,302,0.0892648,0.08958727,-0.00032246893,0.001546157,0.9959630421262501,0.53998786,0.46001217,0.27633455,0.027544672,0.5313637,4.5810426e-05,0.0
walker,WML-32,302,0.085934,0.08927181,-0.003337826,0.0040515056,0.7777207640516761,0.55799466,0.44200534,0.2476176,0.31623778,1.6060213,0.09411753,20.354326
walker,PW-1,303,0.08772952,0.08783108,-0.000101557445,0.0013481434,0.979559556610629,0.54358965,0.45641035,0.27462727,0.02565921,0.53422326,4.572339e-05,0.0
walker,WML-32,303,0.08805721,0.09169779,-0.0036405637,0.003773355,0.9970602586628712,0.5517731,0.44822693,0.24366471,0.3958519,2.2702327,0.07829196,20.224339
walker,PW-1,304,0.08586138,0.0865973,-0.00073591794,0.00404604,0.8527782798022308,0.55022323,0.4497768,0.27219656,0.020625344,0.53812736,3.7798807e-05,0.0
walker,WML-32,304,0.08536647,0.089162976,-0.0037965002,0.005436998,0.926024577477286,0.5606555,0.4393445,0.24954574,0.2541761,222.09915,0.07663453,21.118984
walker,PW-1,305,0.08551544,0.0855641,-4.8666127e-05,0.0014931681,0.9844690947963676,0.55187297,0.44812703,0.268529,0.026652427,0.5257534,4.899691e-05,0.0
walker,WML-32,305,0.09019083,0.09397842,-0.0037875783,0.0039152345,0.9972264302340702,0.5424543,0.4575457,0.2500242,0.3601606,1.9787369,0.07736865,20.15856
walker,PW-1,306,0.0866985,0.08706914,-0.00037063588,0.001167056,0.9867594146856515,0.5470839,0.4529161,0.27009994,0.024989372,0.5311852,4.3202963e-05,0.0
walker,WML-32,306,0.08796431,0.09197575,-0.004011424,0.0041592605,0.997920364360139,0.5516245,0.44837552,0.24971783,0.37518764,2.6001048,0.084409945,20.08332
walker,PW-1,307,0.08616309,0.08595429,0.0002087965,0.0011964699,0.9938077983436308,0.5501593,0.44984072,0.26996875,0.021573825,0.5374093,4.3471657e-05,0.0
walker,WML-32,307,0.08650509,0.089276694,-0.002771601,0.0031913684,0.9726289288533806,0.55655235,0.44344765,0.24795678,0.34603715,1.81738,0.056315593,20.955494
walker,PW-1,308,0.084526524,0.08394564,0.00058089907,0.0025772904,0.9707953819719725,0.5543133,0.4456867,0.27490982,0.03044751,0.5135688,5.7281013e-05,0.0
walker,WML-32,308,0.08844358,0.09137462,-0.0029310414,0.0030285341,0.9949790298887603,0.5485153,0.45148468,0.24643993,0.31918678,0.9494024,0.04806641,20.424587
g1,PW-1,301,0.09440294,0.09362482,0.00077811524,0.0012303008,0.9729789173470574,0.52024406,0.47975594,0.25233904,0.0055578696,0.47766882,0.0009362609,0.0
g1,WML-32,301,0.121955656,0.12233882,-0.00038315408,0.001580957,0.9996270916634343,0.4579813,0.5420187,0.2612919,0.23879817,0.53901774,0.009951089,20.135406
g1,PW-1,302,0.093064986,0.09218415,0.0008808353,0.0011787157,0.9851462654973314,0.52536595,0.47463408,0.24980351,0.005631437,0.45611268,0.00085539185,0.0
g1,WML-32,302,0.114433564,0.11416115,0.0002724155,0.0018093742,0.9991838899200024,0.47300392,0.5269961,0.25044897,0.2625012,0.54208535,0.009797239,19.962498
g1,PW-1,303,0.09432226,0.09302338,0.0012988711,0.001613868,0.9533663910506722,0.5203774,0.4796226,0.2525548,0.0057700197,0.4753418,0.00085054984,0.0
g1,WML-32,303,0.11639406,0.1166609,-0.0002668665,0.0007202779,0.9999151342256827,0.4755863,0.5244137,0.25218493,0.23098603,0.5795951,0.0143808015,20.201046
g1,PW-1,304,0.092700586,0.090664856,0.0020357189,0.0024147436,0.9404314520504524,0.5261935,0.47380647,0.25392908,0.006412242,0.5084495,0.0012129114,0.0
g1,WML-32,304,0.11806573,0.11791395,0.00015177667,0.0014763726,0.9995963632875257,0.4663522,0.53364784,0.25883064,0.22288159,0.57585543,0.013313914,20.3909
g1,PW-1,305,0.09479066,0.093762845,0.0010278045,0.0013867591,0.9775155826909167,0.5190026,0.48099735,0.25316203,0.0056386767,0.48442355,0.0012212129,0.0
g1,WML-32,305,0.113091774,0.112689175,0.00040260464,0.0030216628,0.9973442906022422,0.47558048,0.5244195,0.24968664,0.26593113,0.5917527,0.014357808,19.811989
g1,PW-1,306,0.09281358,0.09138438,0.0014292023,0.0018934788,0.9073868126931621,0.5259058,0.4740942,0.25148103,0.006654994,0.5030515,0.0011641843,0.0
