tag,env,mode,seed,d,eta,eta_src,logged_return,reload_return,n_pw1,n_pw32,n_zo32,n_c,n_v,n_ubar,cos_pw1_pw32,cos_pw32_zo32,cos_zo32_c,cos_c_v,cos_pw32_v,cos_pw1_v,R2_ubar_c,task,arm
G1JoystickFlatTerrain_pathwise_fa_s301_final,G1JoystickFlatTerrain,pathwise,301,29,0.6767621364687615,recomputed_placeholder,27.264759063720703,27.457583642285808,0.010143805714681965,0.008794311216466687,0.01138842565826565,0.016711775174466873,0.9410805448196482,0.9414076508371683,0.7749821427397696,0.6393692063930887,0.999897133266853,-0.032867585846511525,-0.05482646224667611,-0.037749052712902076,28.351242214269647,g1,PW-1
G1JoystickFlatTerrain_pathwise_fa_s302_final,G1JoystickFlatTerrain,pathwise,302,29,0.5808613360610454,recomputed_placeholder,29.184972763061523,27.103811401128045,0.008357111433412279,0.006723659055996811,0.009433587861505693,0.016219973926506162,0.9451508737688192,0.9452638694427639,0.7828920359571829,0.6427122713644505,0.9999396684360553,-0.01870696671789607,-0.051089468574573575,-0.043228884158279565,34.42096059123668,g1,PW-1
G1JoystickFlatTerrain_pathwise_fa_s303_final,G1JoystickFlatTerrain,pathwise,303,29,0.5494896376249541,recomputed_placeholder,17.794275283813477,26.495211757798927,0.010089897559842966,0.008245012769068515,0.011571315712238225,0.020876307169803973,0.950452557280387,0.9496337034399029,0.7576777385878684,0.6504989747813884,0.9998858514064124,-0.017295956460089815,-0.05017905805595028,-0.03878704096559084,20.11383967291006,g1,PW-1
G1JoystickFlatTerrain_pathwise_fa_s304_final,G1JoystickFlatTerrain,pathwise,304,29,0.6385238231728494,recomputed_placeholder,13.012063980102539,21.167449997773875,0.007612135116564321,0.006552580091565577,0.009183991909767843,0.014314346636991746,0.9525846371141733,0.9528229188042339,0.8076417928387335,0.6666106870040556,0.9999593627115515,-0.03435458856262908,-0.06399198333501385,-0.04971238478247462,40.318601710511615,g1,PW-1
G1JoystickFlatTerrain_pathwise_fa_s305_final,G1JoystickFlatTerrain,pathwise,305,29,0.5079606934865137,recomputed_placeholder,24.29935646057129,27.325403889812247,0.009572796999561062,0.007746719178721511,0.011033181731913741,0.02150356671236419,0.9523549271386275,0.9512414289405426,0.7508821014619875,0.6375963921775278,0.9998631097949456,-0.011519487446420722,-0.05131094943833589,-0.026114174449580793,18.390936675379812,g1,PW-1
G1JoystickFlatTerrain_pathwise_fa_s306_final,G1JoystickFlatTerrain,pathwise,306,29,0.5591405211837791,recomputed_placeholder,10.326732635498047,15.687697593761355,0.008258531777295554,0.0069824778197245104,0.009684696769502881,0.01723139794324651,0.9458210500395263,0.9454919566012936,0.833137801473826,0.6815396182927884,0.9999479474211366,-0.0026643641357688612,-0.026567275122792465,-0.019166738492905275,32.784610522522854,g1,PW-1
G1JoystickFlatTerrain_pathwise_fa_s307_final,G1JoystickFlatTerrain,pathwise,307,29,0.5394738215443126,recomputed_placeholder,30.37877082824707,27.448478279949903,0.008001781599392558,0.006166095639016525,0.008961524226386065,0.016378275091957217,0.9414290254405697,0.9415512660828905,0.7390716820872609,0.6314967678500605,0.9999501125893961,-0.04192429605719498,-0.07644249640279141,-0.0466912593912296,33.39883154619482,g1,PW-1
G1JoystickFlatTerrain_pathwise_fa_s308_final,G1JoystickFlatTerrain,pathwise,308,29,0.3966426484561303,recomputed_placeholder,31.427305221557617,27.40749685874757,0.007598641312098328,0.006147677075853122,0.008926055996351264,0.02244953896731509,0.9455752067343455,0.9446148291117071,0.7341276303644256,0.6357071050732934,0.9998417986538168,-0.0131314212691139,-0.055276320550874315,-0.030074023311976915,17.552090586849168,g1,PW-1
G1JoystickFlatTerrain_weighted_mle_s301_final,G1JoystickFlatTerrain,weighted_mle,301,29,0.004279963206499815,measured,15.91957950592041,20.607058344526884,0.03674645391421851,0.02191996347904566,0.0294369013774726,1.7945500412785342,2.11446857897461,0.9555274136563584,0.7527532825101164,0.6451802099206303,0.8316127855317517,0.7215599568563197,0.38275768827916185,0.30952125869490665,0.40306290204445033,g1,WML-32
G1JoystickFlatTerrain_weighted_mle_s302_final,G1JoystickFlatTerrain,weighted_mle,302,29,0.0038700904697179794,measured,22.1348876953125,22.823569650828972,0.024460227784088066,0.018750291737107065,0.025712223861987404,1.8361481871519314,2.1460707678132422,0.9417237996510547,0.7444393855320768,0.6425515973911138,0.8327254218991298,0.7347267490472018,0.3804722627168877,0.29889177637010883,0.3881633955249586,g1,WML-32
G1JoystickFlatTerrain_weighted_mle_s303_final,G1JoystickFlatTerrain,weighted_mle,303,29,0.003743376350030303,measured,14.42068099975586,21.882210213869996,0.02672400312129459,0.014933654111038917,0.021384433995587693,1.8387596970442202,2.1482867838640596,0.946177660254123,0.7777851973492624,0.6612650593149028,0.8326833545178571,0.7542882266408094,0.41466727211149973,0.3302444250221938,0.398455985709044,g1,WML-32
G1JoystickFlatTerrain_weighted_mle_s304_final,G1JoystickFlatTerrain,weighted_mle,304,29,0.0041852109134197235,measured,11.965431213378906,17.04795305899831,0.01785151131752892,0.01300361638305548,0.018333572533756066,1.632678692755031,1.9948896178286428,0.9443709720568404,0.7940262833169958,0.6708351485738664,0.856206835617884,0.683523723659218,0.3666098265045522,0.29780334496799377,0.4256617667512507,g1,WML-32
G1JoystickFlatTerrain_weighted_mle_s305_final,G1JoystickFlatTerrain,weighted_mle,305,29,0.003653470426797867,measured,16.221261978149414,22.412553426557565,0.018393158292492592,0.014378868401395226,0.020135995845589894,1.8079667919287876,2.099275393947933,0.9402741622076276,0.7843475363138804,0.6620636323781093,0.8333267949921979,0.7517509428080734,0.40942954252134844,0.32953773839994466,0.4054554842008724,g1,WML-32
G1JoystickFlatTerrain_weighted_mle_s306_final,G1JoystickFlatTerrain,weighted_mle,306,29,0.003767356975004077,measured,10.492107391357422,15.405291793226443,0.026737372593256547,0.01626223863186703,0.02276224375525891,1.9175511824029468,2.2215661681136636,0.9479639158808124,0.7722346409181458,0.665331586485729,0.8193319601219358,0.7622045349824598,0.39702084506648383,0.31403961672048136,0.38602536028110135,g1,WML-32
G1JoystickFlatTerrain_weighted_mle_s307_final,G1JoystickFlatTerrain,weighted_mle,307,29,0.004455947317183018,measured,12.307926177978516,19.432190778822466,0.026456039705277334,0.01824618835603537,0.026572729162726752,1.9965528968575073,2.30146744894144,0.9388894464806128,0.7596922752185401,0.6575525447610036,0.8140246018705605,0.7450567150124021,0.39410460225429034,0.31032921973848027,0.3621215840954258,g1,WML-32
G1JoystickFlatTerrain_weighted_mle_s308_final,G1JoystickFlatTerrain,weighted_mle,308,29,0.003992969170212746,measured,14.506757736206055,19.35846246422898,0.022397875504138846,0.01728177846043897,0.025399074066643375,1.9652092351325705,2.270797487856446,0.9556650590843434,0.7538039513264417,0.6529070281662214,0.8110410601791121,0.753141408463609,0.39415743299721856,0.3051245776466439,0.3795404613197782,g1,WML-32
