run_id,operator,arm,task,seed,actor_update_mode,actor_sample_count,M,gpu_architecture_ledger,partition_actual,gpu_model,slurm_job,status,wall_clock_s,config_hash,resolved_config_path,resolved_config_sha256,alpha_entropy,horizon_total_time_steps,num_eval,eps_e,kl_bound,faithful_same_point,fresh_minibatch_key,log_faithful_diag,output_path,export_final,export_p25,export_p50,export_present,checkpoint_sha256_ledger,checkpoint_sha256_recomputed,checksum_match,git_sha,prereg_commit,correction_commit,command
fr-walker-PW1-s301,PW-1,PW-1-faithful-repair,WalkerRun,301,pathwise,1,32,c23g,c23g,NVIDIA H100,3444831_8,completed,927,c1d87dbe7682eceb,outputs/faithful_repair/walker_PW1_s301/.hydra/config.yaml,e847b62d615e1ca14b31f0f529b86adbefeebd1296a2298ac24c5f01ca7effe4,0.014509912580251694,52297728,20,0.5,0.1,True,True,True,outputs/faithful_repair/walker_PW1_s301,exports/WalkerRun_pathwise_fa_s301_final,exports/WalkerRun_pathwise_fa_s301_p25,exports/WalkerRun_pathwise_fa_s301_p50,True,60cb27da0fb9c607de67c66e3697fd4ac1abb5c062c18927057ce8558811b9a7,60cb27da0fb9c607de67c66e3697fd4ac1abb5c062c18927057ce8558811b9a7,True,1c6259ef959400eba617e1d1392bfaf58248688c,7edb8e8c3d358eba04e569223a3860a3b4fba85d,cfbd8dd,python scripts/train_and_export.py env=mjx_dmc env.name=WalkerRun experiment_overrides=mjx_dmc_large_data seed=301 num_trials=1 num_seeds=1 wandb.mode=disabled hyperparameters.actor_update_mode=pathwise hyperparameters.update_entropy_lagrangian=false hyperparameters.ent_start=0.014509912580251694 hyperparameters.faithful_same_point=true hyperparameters.fresh_minibatch_key=true hyperparameters.log_faithful_diag=true hydra.run.dir=outputs/faithful_repair/walker_PW1_s301
fr-walker-PW1-s302,PW-1,PW-1-faithful-repair,WalkerRun,302,pathwise,1,32,c25g,c25g,NVIDIA H100 80GB HBM3,3444832_8,completed,879,e5779a42295d2258,outputs/faithful_repair/walker_PW1_s302/.hydra/config.yaml,ee9d4dd775173476b6246e9089a0cbc3b0593b3ad3c21304c29666490daf8b93,0.014509912580251694,52297728,20,0.5,0.1,True,True,True,outputs/faithful_repair/walker_PW1_s302,exports/WalkerRun_pathwise_fa_s302_final,exports/WalkerRun_pathwise_fa_s302_p25,exports/WalkerRun_pathwise_fa_s302_p50,True,61675bc0985bd32f93cb31d93afe04b3e0174f2d2de3836c5bc84b3d3108aaf9,61675bc0985bd32f93cb31d93afe04b3e0174f2d2de3836c5bc84b3d3108aaf9,True,1c6259ef959400eba617e1d1392bfaf58248688c,7edb8e8c3d358eba04e569223a3860a3b4fba85d,cfbd8dd,python scripts/train_and_export.py env=mjx_dmc env.name=WalkerRun experiment_overrides=mjx_dmc_large_data seed=302 num_trials=1 num_seeds=1 wandb.mode=disabled hyperparameters.actor_update_mode=pathwise hyperparameters.update_entropy_lagrangian=false hyperparameters.ent_start=0.014509912580251694 hyperparameters.faithful_same_point=true hyperparameters.fresh_minibatch_key=true hyperparameters.log_faithful_diag=true hydra.run.dir=outputs/faithful_repair/walker_PW1_s302
fr-walker-PW1-s303,PW-1,PW-1-faithful-repair,WalkerRun,303,pathwise,1,32,c23g,c23g,NVIDIA H100,3444831_9,completed,924,40681dbac3e55518,outputs/faithful_repair/walker_PW1_s303/.hydra/config.yaml,8d60fa0ab89c8b4e63d77d9d45b06868641cb97ae50156d0e76a579e6a189fe3,0.014509912580251694,52297728,20,0.5,0.1,True,True,True,outputs/faithful_repair/walker_PW1_s303,exports/WalkerRun_pathwise_fa_s303_final,exports/WalkerRun_pathwise_fa_s303_p25,exports/WalkerRun_pathwise_fa_s303_p50,True,ae92ee6754def5208d96831cc6926dbb350dceb0c8297bbc4c685e1ee2e6df69,ae92ee6754def5208d96831cc6926dbb350dceb0c8297bbc4c685e1ee2e6df69,True,1c6259ef959400eba617e1d1392bfaf58248688c,7edb8e8c3d358eba04e569223a3860a3b4fba85d,cfbd8dd,python scripts/train_and_export.py env=mjx_dmc env.name=WalkerRun experiment_overrides=mjx_dmc_large_data seed=303 num_trials=1 num_seeds=1 wandb.mode=disabled hyperparameters.actor_update_mode=pathwise hyperparameters.update_entropy_lagrangian=false hyperparameters.ent_start=0.014509912580251694 hyperparameters.faithful_same_point=true hyperparameters.fresh_minibatch_key=true hyperparameters.log_faithful_diag=true hydra.run.dir=outputs/faithful_repair/walker_PW1_s303
fr-walker-PW1-s304,PW-1,PW-1-faithful-repair,WalkerRun,304,pathwise,1,32,c25g,c25g,NVIDIA H100 80GB HBM3,3444832_9,completed,880,133b8b30a397f79b,outputs/faithful_repair/walker_PW1_s304/.hydra/config.yaml,f0152f701d5313a1b6f2397e1522eaad6a303316327446e6fdcdbe68c0331d5b,0.014509912580251694,52297728,20,0.5,0.1,True,True,True,outputs/faithful_repair/walker_PW1_s304,exports/WalkerRun_pathwise_fa_s304_final,exports/WalkerRun_pathwise_fa_s304_p25,exports/WalkerRun_pathwise_fa_s304_p50,True,2c3a5635f0f7c099e7d23a3629e885ecef11fdd62aac2055e9f31fec706c7923,2c3a5635f0f7c099e7d23a3629e885ecef11fdd62aac2055e9f31fec706c7923,True,1c6259ef959400eba617e1d1392bfaf58248688c,7edb8e8c3d358eba04e569223a3860a3b4fba85d,cfbd8dd,python scripts/train_and_export.py env=mjx_dmc env.name=WalkerRun experiment_overrides=mjx_dmc_large_data seed=304 num_trials=1 num_seeds=1 wandb.mode=disabled hyperparameters.actor_update_mode=pathwise hyperparameters.update_entropy_lagrangian=false hyperparameters.ent_start=0.014509912580251694 hyperparameters.faithful_same_point=true hyperparameters.fresh_minibatch_key=true hyperparameters.log_faithful_diag=true hydra.run.dir=outputs/faithful_repair/walker_PW1_s304
fr-walker-PW1-s305,PW-1,PW-1-faithful-repair,WalkerRun,305,pathwise,1,32,c23g,c23g,NVIDIA H100,3444831_10,completed,931,c037e2562fe5f2b3,outputs/faithful_repair/walker_PW1_s305/.hydra/config.yaml,bb54fac31504869ff25c9a960b08887536c2ca5d6262aa766d7ddd306439691e,0.014509912580251694,52297728,20,0.5,0.1,True,True,True,outputs/faithful_repair/walker_PW1_s305,exports/WalkerRun_pathwise_fa_s305_final,exports/WalkerRun_pathwise_fa_s305_p25,exports/WalkerRun_pathwise_fa_s305_p50,True,3fb2fef7dce9e5d9df4a642ca4db812869a4c7edc53e999aaa5562cfc679bc15,3fb2fef7dce9e5d9df4a642ca4db812869a4c7edc53e999aaa5562cfc679bc15,True,1c6259ef959400eba617e1d1392bfaf58248688c,7edb8e8c3d358eba04e569223a3860a3b4fba85d,cfbd8dd,python scripts/train_and_export.py env=mjx_dmc env.name=WalkerRun experiment_overrides=mjx_dmc_large_data seed=305 num_trials=1 num_seeds=1 wandb.mode=disabled hyperparameters.actor_update_mode=pathwise hyperparameters.update_entropy_lagrangian=false hyperparameters.ent_start=0.014509912580251694 hyperparameters.faithful_same_point=true hyperparameters.fresh_minibatch_key=true hyperparameters.log_faithful_diag=true hydra.run.dir=outputs/faithful_repair/walker_PW1_s305
fr-walker-PW1-s306,PW-1,PW-1-faithful-repair,WalkerRun,306,pathwise,1,32,c25g,c25g,NVIDIA H100 80GB HBM3,3444832_10,completed,875,b920a16d912a7a5b,outputs/faithful_repair/walker_PW1_s306/.hydra/config.yaml,c721d7a845a1a99e3a1febb376fdd863f0f22965e094873cc5bbbad9787e678c,0.014509912580251694,52297728,20,0.5,0.1,True,True,True,outputs/faithful_repair/walker_PW1_s306,exports/WalkerRun_pathwise_fa_s306_final,exports/WalkerRun_pathwise_fa_s306_p25,exports/WalkerRun_pathwise_fa_s306_p50,True,73db95fb7968318461c63f94aef3028d17007e175660f6f4e04db7a44099630b,73db95fb7968318461c63f94aef3028d17007e175660f6f4e04db7a44099630b,True,1c6259ef959400eba617e1d1392bfaf58248688c,7edb8e8c3d358eba04e569223a3860a3b4fba85d,cfbd8dd,python scripts/train_and_export.py env=mjx_dmc env.name=WalkerRun experiment_overrides=mjx_dmc_large_data seed=306 num_trials=1 num_seeds=1 wandb.mode=disabled hyperparameters.actor_update_mode=pathwise hyperparameters.update_entropy_lagrangian=false hyperparameters.ent_start=0.014509912580251694 hyperparameters.faithful_same_point=true hyperparameters.fresh_minibatch_key=true hyperparameters.log_faithful_diag=true hydra.run.dir=outputs/faithful_repair/walker_PW1_s306
fr-walker-PW1-s307,PW-1,PW-1-faithful-repair,WalkerRun,307,pathwise,1,32,c23g,c23g,NVIDIA H100,3444831_11,completed,935,64fc136ce77869c4,outputs/faithful_repair/walker_PW1_s307/.hydra/config.yaml,fd488d81f35427ec527990372dd67e0fc789bca523786fe5d3b42936af1dad8d,0.014509912580251694,52297728,20,0.5,0.1,True,True,True,outputs/faithful_repair/walker_PW1_s307,exports/WalkerRun_pathwise_fa_s307_final,exports/WalkerRun_pathwise_fa_s307_p25,exports/WalkerRun_pathwise_fa_s307_p50,True,c3c4afdf18232193d5b3f6d8f529c9c2294ca9bee920b51da49b1ae2b76830b6,c3c4afdf18232193d5b3f6d8f529c9c2294ca9bee920b51da49b1ae2b76830b6,True,1c6259ef959400eba617e1d1392bfaf58248688c,7edb8e8c3d358eba04e569223a3860a3b4fba85d,cfbd8dd,python scripts/train_and_export.py env=mjx_dmc env.name=WalkerRun experiment_overrides=mjx_dmc_large_data seed=307 num_trials=1 num_seeds=1 wandb.mode=disabled hyperparameters.actor_update_mode=pathwise hyperparameters.update_entropy_lagrangian=false hyperparameters.ent_start=0.014509912580251694 hyperparameters.faithful_same_point=true hyperparameters.fresh_minibatch_key=true hyperparameters.log_faithful_diag=true hydra.run.dir=outputs/faithful_repair/walker_PW1_s307
fr-walker-PW1-s308,PW-1,PW-1-faithful-repair,WalkerRun,308,pathwise,1,32,c25g,c25g,NVIDIA H100 80GB HBM3,3444832_11,completed,882,bca8c2fb90095c66,outputs/faithful_repair/walker_PW1_s308/.hydra/config.yaml,5b0f5c2a074744e5d0ad882ff20ab5bf12d682d10ca206465b5053043d7e08cf,0.014509912580251694,52297728,20,0.5,0.1,True,True,True,outputs/faithful_repair/walker_PW1_s308,exports/WalkerRun_pathwise_fa_s308_final,exports/WalkerRun_pathwise_fa_s308_p25,exports/WalkerRun_pathwise_fa_s308_p50,True,091fee12a75bd008702c6d6baf24703d9d93dc84efd7c2341e2e90cf8b587e17,091fee12a75bd008702c6d6baf24703d9d93dc84efd7c2341e2e90cf8b587e17,True,1c6259ef959400eba617e1d1392bfaf58248688c,7edb8e8c3d358eba04e569223a3860a3b4fba85d,cfbd8dd,python scripts/train_and_export.py env=mjx_dmc env.name=WalkerRun experiment_overrides=mjx_dmc_large_data seed=308 num_trials=1 num_seeds=1 wandb.mode=disabled hyperparameters.actor_update_mode=pathwise hyperparameters.update_entropy_lagrangian=false hyperparameters.ent_start=0.014509912580251694 hyperparameters.faithful_same_point=true hyperparameters.fresh_minibatch_key=true hyperparameters.log_faithful_diag=true hydra.run.dir=outputs/faithful_repair/walker_PW1_s308
fr-walker-WML32-s301,WML-32,WML-32-faithful-repair,WalkerRun,301,weighted_mle,32,32,c25g,c25g,NVIDIA H100 80GB HBM3,3444832_12,completed,1323,4378b5f11d135c48,outputs/faithful_repair/walker_WML32_s301/.hydra/config.yaml,9be759d6da244e59072a8e588640245915335074803da6093d7c582cf487b3ff,0.014509912580251694,52297728,20,0.5,0.1,True,True,True,outputs/faithful_repair/walker_WML32_s301,exports/WalkerRun_weighted_mle_s301_final,exports/WalkerRun_weighted_mle_s301_p25,exports/WalkerRun_weighted_mle_s301_p50,True,e0ff454d50063a498b79939e4c3c8194e1d8d93870b7c67245ffc445dda279c2,e0ff454d50063a498b79939e4c3c8194e1d8d93870b7c67245ffc445dda279c2,True,1c6259ef959400eba617e1d1392bfaf58248688c,7edb8e8c3d358eba04e569223a3860a3b4fba85d,cfbd8dd,python scripts/train_and_export.py env=mjx_dmc env.name=WalkerRun experiment_overrides=mjx_dmc_large_data seed=301 num_trials=1 num_seeds=1 wandb.mode=disabled hyperparameters.actor_update_mode=weighted_mle hyperparameters.update_entropy_lagrangian=false hyperparameters.ent_start=0.014509912580251694 hyperparameters.faithful_same_point=true hyperparameters.fresh_minibatch_key=true hyperparameters.log_faithful_diag=true hydra.run.dir=outputs/faithful_repair/walker_WML32_s301
fr-walker-WML32-s302,WML-32,WML-32-faithful-repair,WalkerRun,302,weighted_mle,32,32,c23g,c23g,NVIDIA H100,3444831_12,completed,1377,de9667465122313a,outputs/faithful_repair/walker_WML32_s302/.hydra/config.yaml,fd753d08e7fbfe9e85b40b1d26351649fb874a29e60725fa066f3eac5ff790b2,0.014509912580251694,52297728,20,0.5,0.1,True,True,True,outputs/faithful_repair/walker_WML32_s302,exports/WalkerRun_weighted_mle_s302_final,exports/WalkerRun_weighted_mle_s302_p25,exports/WalkerRun_weighted_mle_s302_p50,True,1c35ab3b47211bae8edc272b0c3de29a231bec1f62285de6f1a7caa76efcde55,1c35ab3b47211bae8edc272b0c3de29a231bec1f62285de6f1a7caa76efcde55,True,1c6259ef959400eba617e1d1392bfaf58248688c,7edb8e8c3d358eba04e569223a3860a3b4fba85d,cfbd8dd,python scripts/train_and_export.py env=mjx_dmc env.name=WalkerRun experiment_overrides=mjx_dmc_large_data seed=302 num_trials=1 num_seeds=1 wandb.mode=disabled hyperparameters.actor_update_mode=weighted_mle hyperparameters.update_entropy_lagrangian=false hyperparameters.ent_start=0.014509912580251694 hyperparameters.faithful_same_point=true hyperparameters.fresh_minibatch_key=true hyperparameters.log_faithful_diag=true hydra.run.dir=outputs/faithful_repair/walker_WML32_s302
fr-walker-WML32-s303,WML-32,WML-32-faithful-repair,WalkerRun,303,weighted_mle,32,32,c25g,c25g,NVIDIA H100 80GB HBM3,3444832_13,completed,1313,d20d77c4bdf88cbc,outputs/faithful_repair/walker_WML32_s303/.hydra/config.yaml,3b8050d82493b4a5dbe14bc806ea573550f8ddc30a2384b5fff0ebfee62bee8c,0.014509912580251694,52297728,20,0.5,0.1,True,True,True,outputs/faithful_repair/walker_WML32_s303,exports/WalkerRun_weighted_mle_s303_final,exports/WalkerRun_weighted_mle_s303_p25,exports/WalkerRun_weighted_mle_s303_p50,True,327c9a16493ef82b209abbe4d97b257b98fb6de98729c77d057845eb5197c389,327c9a16493ef82b209abbe4d97b257b98fb6de98729c77d057845eb5197c389,True,1c6259ef959400eba617e1d1392bfaf58248688c,7edb8e8c3d358eba04e569223a3860a3b4fba85d,cfbd8dd,python scripts/train_and_export.py env=mjx_dmc env.name=WalkerRun experiment_overrides=mjx_dmc_large_data seed=303 num_trials=1 num_seeds=1 wandb.mode=disabled hyperparameters.actor_update_mode=weighted_mle hyperparameters.update_entropy_lagrangian=false hyperparameters.ent_start=0.014509912580251694 hyperparameters.faithful_same_point=true hyperparameters.fresh_minibatch_key=true hyperparameters.log_faithful_diag=true hydra.run.dir=outputs/faithful_repair/walker_WML32_s303
