task,cell,subset,alpha,d,mean_FH,median_FH,frac_FH_pos,seed_medians_positive,seed_medians_negative,sign_stable_across_seeds,median_sigma,E_sech2,two_s2_E_sech2,classification
walker,PW_ent,on_arm,0.014509915374219418,6,0.009992644190788269,0.012096453458070755,0.9488932291666666,8,0,True,0.4737338721752167,0.4816085994243622,0.31132304668426514,WIDENS
walker,PW_ent,neutral,0.014509915374219418,6,0.010871822945773602,0.012302618473768234,0.9779256184895834,8,0,True,0.45417237281799316,0.4513755440711975,0.25073155760765076,WIDENS
walker,WML_noent,on_arm,0.014509915374219418,6,-0.03996754810214043,0.014244278892874718,0.8861762152777778,8,0,True,0.21817879378795624,0.37240517139434814,3.7544991970062256,WIDENS
walker,WML_noent,neutral,0.014509915374219418,6,-7.1955695152282715,-0.10020971298217773,0.2827894422743056,0,8,True,7.181469917297363,0.12056656926870346,496.9070739746094,CONTRACTS
g1,PW_ent,on_arm,0.00020752238924615085,29,0.00017583163571543992,0.00019144007819704711,0.9981815732758621,8,0,True,0.2823796272277832,0.674646258354187,0.15271002054214478,WIDENS
g1,PW_ent,neutral,0.00020752238924615085,29,0.00017880817176774144,0.0001962268870556727,0.9936481344288793,8,0,True,0.2990589737892151,0.5435748100280762,0.13836675882339478,WIDENS
g1,WML_noent,on_arm,0.00020752238924615085,29,0.0001575231144670397,0.00020296953152865171,0.9677622126436781,8,0,True,0.1886747181415558,0.542237401008606,0.24093443155288696,WIDENS
g1,WML_noent,neutral,0.00020752238924615085,29,-9.99604344542604e-06,0.000186770164873451,0.7843859442349138,8,0,True,0.5560497641563416,0.4052797853946686,1.0481685400009155,WIDENS
leap,PW_ent,on_arm,0.000782382907345891,16,0.0007056514150463045,0.0007471868302673101,0.9969889322916666,8,0,True,0.2296668291091919,0.5896284580230713,0.09807413071393967,WIDENS
leap,PW_ent,neutral,0.000782382907345891,16,-0.00016909856640268117,0.0006224270910024643,0.8140818277994791,8,0,True,0.5583993792533875,0.4053439199924469,1.216132640838623,WIDENS
leap,WML_noent,on_arm,0.000782382907345891,16,0.000677991658449173,0.0007694023661315441,0.979736328125,8,0,True,0.12283093482255936,0.4963413178920746,0.13342727720737457,WIDENS
leap,WML_noent,neutral,0.000782382907345891,16,-0.19168347120285034,-0.001749386778101325,0.35302988688151044,0,8,True,2.897387981414795,0.20805120468139648,245.99957275390625,CONTRACTS
