task,cell,seed,coord,mean_FH,median_FH,frac_pos,median_sigma,E_sech2,two_s2_E_sech2
walker,PW_ent,301,0,0.009029212407767773,0.012559924274682999,0.90625,0.5118318796157837,0.44506871700286865,0.37772122025489807
walker,PW_ent,301,1,0.011678298003971577,0.012175608426332474,1.0,0.44571739435195923,0.4777328073978424,0.19515053927898407
walker,PW_ent,301,2,0.006263934075832367,0.00674770912155509,0.8385416666666666,0.6359496116638184,0.66829913854599,0.5682997107505798
walker,PW_ent,301,3,0.01040447037667036,0.01283981092274189,0.890625,0.464588463306427,0.39106297492980957,0.28294071555137634
walker,PW_ent,301,4,0.012003983370959759,0.012378633953630924,1.0,0.4653787612915039,0.469747394323349,0.1727047711610794
walker,PW_ent,301,5,0.009629997424781322,0.01146407425403595,0.953125,0.5167187452316284,0.4709460735321045,0.33631613850593567
walker,PW_ent,302,0,0.010987772606313229,0.013342548161745071,0.9479166666666666,0.4378353953361511,0.39302244782447815,0.2427404373884201
walker,PW_ent,302,1,0.010997670702636242,0.012328343465924263,0.9947916666666666,0.4806620478630066,0.44372275471687317,0.24205823242664337
walker,PW_ent,302,2,0.007432680577039719,0.008708639070391655,0.8802083333333334,0.5670440196990967,0.6083006262779236,0.48775163292884827
walker,PW_ent,302,3,0.009726502001285553,0.012228884734213352,0.9479166666666666,0.4537002444267273,0.4848608076572418,0.3296651542186737
walker,PW_ent,302,4,0.011051678098738194,0.012018730863928795,1.0,0.47498488426208496,0.49307987093925476,0.23833613097667694
walker,PW_ent,302,5,0.009043598547577858,0.010248157195746899,0.9635416666666666,0.5135341882705688,0.5949090719223022,0.37672972679138184
walker,PW_ent,303,0,0.009718358516693115,0.013089852407574654,0.890625,0.4484255313873291,0.41255664825439453,0.3302263915538788
walker,PW_ent,303,1,0.011553697288036346,0.012130927294492722,1.0,0.47103196382522583,0.4414776563644409,0.20373781025409698
walker,PW_ent,303,2,0.0071785026229918,0.008222103118896484,0.8854166666666666,0.5856015682220459,0.6240172982215881,0.5052691102027893
walker,PW_ent,303,3,0.011206983588635921,0.013456749729812145,0.9791666666666666,0.44142866134643555,0.3696860373020172,0.22763271629810333
walker,PW_ent,303,4,0.01071279775351286,0.012463992461562157,0.9739583333333334,0.46884965896606445,0.45656004548072815,0.2616911828517914
walker,PW_ent,303,5,0.007756092119961977,0.009182970970869064,0.90625,0.6002144813537598,0.5747465491294861,0.4654625952243805
walker,PW_ent,304,0,0.010328809730708599,0.013084311038255692,0.9479166666666666,0.4564313292503357,0.4456227123737335,0.28815504908561707
walker,PW_ent,304,1,0.011608287692070007,0.012283239513635635,1.0,0.48021331429481506,0.40152764320373535,0.19997550547122955
walker,PW_ent,304,2,0.00722461985424161,0.008055413141846657,0.8958333333333334,0.6231037378311157,0.6162809729576111,0.5020908117294312
walker,PW_ent,304,3,0.011755231767892838,0.013362184166908264,0.9791666666666666,0.40033310651779175,0.398221492767334,0.18984836339950562
walker,PW_ent,304,4,0.010246084071695805,0.012059585191309452,0.953125,0.4636649489402771,0.4960215091705322,0.2938563823699951
walker,PW_ent,304,5,0.009550406597554684,0.010909589007496834,0.9479166666666666,0.458703875541687,0.5538889169692993,0.34180131554603577
walker,PW_ent,305,0,0.01123459730297327,0.013443196192383766,0.96875,0.4119065999984741,0.41479992866516113,0.22572965919971466
walker,PW_ent,305,1,0.009991117753088474,0.012163011357188225,0.9583333333333334,0.5163533687591553,0.4263256788253784,0.3114281892776489
walker,PW_ent,305,2,0.00854029506444931,0.010427012108266354,0.9270833333333334,0.5241364240646362,0.5606067180633545,0.411416620016098
walker,PW_ent,305,3,0.010095071978867054,0.013047918677330017,0.9270833333333334,0.42843323945999146,0.44076231122016907,0.3042639195919037
walker,PW_ent,305,4,0.012243837118148804,0.012616179883480072,1.0,0.4664251208305359,0.3554607927799225,0.15617454051971436
walker,PW_ent,305,5,0.008039053529500961,0.008730508387088776,0.96875,0.5842958092689514,0.5935959219932556,0.4459613561630249
walker,PW_ent,306,0,0.010627024807035923,0.013176314532756805,0.921875,0.4129388928413391,0.41070032119750977,0.2676025331020355
walker,PW_ent,306,1,0.010300708934664726,0.011450903490185738,0.9791666666666666,0.5044099688529968,0.4802423417568207,0.29009175300598145
walker,PW_ent,306,2,0.008656267076730728,0.009918538853526115,0.9166666666666666,0.5243743658065796,0.5764693021774292,0.4034239947795868
walker,PW_ent,306,3,0.010322138667106628,0.01281491108238697,0.9479166666666666,0.46204715967178345,0.42365947365760803,0.28861477971076965
walker,PW_ent,306,4,0.01206216961145401,0.0126112699508667,1.0,0.46464309096336365,0.3842552602291107,0.16869468986988068
walker,PW_ent,306,5,0.007236167322844267,0.007100055925548077,0.9739583333333334,0.6764297485351562,0.5913081169128418,0.5012950301170349
walker,PW_ent,307,0,0.009940111078321934,0.013150058686733246,0.9114583333333334,0.4720447063446045,0.4300020635128021,0.3149435818195343
walker,PW_ent,307,1,0.011678722687065601,0.012157134711742401,0.9947916666666666,0.46314939856529236,0.40874984860420227,0.19512124359607697
walker,PW_ent,307,2,0.0076132118701934814,0.008233105763792992,0.890625,0.5819563865661621,0.5513808131217957,0.47530969977378845
walker,PW_ent,307,3,0.010660079307854176,0.013312166556715965,0.921875,0.41949647665023804,0.400326132774353,0.2653244733810425
walker,PW_ent,307,4,0.010857228189706802,0.012148726731538773,0.984375,0.49916863441467285,0.4326900541782379,0.2517373561859131
walker,PW_ent,307,5,0.009126013144850731,0.010728716850280762,0.9427083333333334,0.4958178997039795,0.5650461316108704,0.3710498809814453
walker,PW_ent,308,0,0.010113857686519623,0.013026508502662182,0.9166666666666666,0.42250216007232666,0.43639588356018066,0.3029692471027374
walker,PW_ent,308,1,0.011156541295349598,0.011538837105035782,1.0,0.47300034761428833,0.5045566558837891,0.2311091423034668
walker,PW_ent,308,2,0.007450800389051437,0.0084537323564291,0.8802083333333334,0.5750720500946045,0.6573165655136108,0.48650285601615906
walker,PW_ent,308,3,0.011561439372599125,0.013535814359784126,0.96875,0.42149782180786133,0.41318145394325256,0.2032041996717453
walker,PW_ent,308,4,0.012725144624710083,0.013144411146640778,1.0,0.4235396385192871,0.39445391297340393,0.12300354242324829
walker,PW_ent,308,5,0.010325643233954906,0.012322485446929932,0.9635416666666666,0.4278544783592224,0.5335663557052612,0.28837326169013977
walker,WML_noent,301,0,-0.01955687440931797,0.014336977154016495,0.8489583333333334,0.39746201038360596,0.22297561168670654,2.3478281497955322
walker,WML_noent,301,1,0.0030117479618638754,0.014280333183705807,0.8958333333333334,0.2418084591627121,0.31282058358192444,0.7924352288246155
