r_eff,value,ci_lo,ci_hi,series,panel,systematic,noise
0.5,0.36389686133387367,0.33670372000044746,0.3917800105402556,$J=1$,A_B_systematic,,
0.75,0.2905852151696757,0.2786658409685354,0.30257231638238996,$J=1$,A_B_systematic,,
1.0,0.2903388303978606,0.2787681224720525,0.30218237549124227,$J=1$,A_B_systematic,,
1.25,0.29065246732314365,0.2789550307458219,0.30188740465121533,$J=1$,A_B_systematic,,
1.5,0.2914848026383349,0.2798389754747755,0.30316057674231245,$J=1$,A_B_systematic,,
1.75,0.29084700943938474,0.2790816658170102,0.3024975548017491,$J=1$,A_B_systematic,,
2.0,0.2914840313630423,0.27962344540975814,0.3030357023240827,$J=1$,A_B_systematic,,
3.0,0.2902221088761381,0.27877405487233786,0.30168207750773346,$J=1$,A_B_systematic,,
0.5,0.13688891250819307,0.1307889294339799,0.14299638633336817,$J=4$,A_B_systematic,,
0.75,0.13496102881544467,0.1287022148546976,0.14130228268437173,$J=4$,A_B_systematic,,
1.0,0.1353689193720093,0.1290597140434482,0.14193052785066512,$J=4$,A_B_systematic,,
1.25,0.13598961584962416,0.12952479755601295,0.14236327942908641,$J=4$,A_B_systematic,,
1.5,0.1354590645196412,0.1288893052449388,0.1420587582511253,$J=4$,A_B_systematic,,
1.75,0.13567854153727196,0.1293046083650545,0.1418512700539325,$J=4$,A_B_systematic,,
2.0,0.1360006762720401,0.1294893103498192,0.14224186635076336,$J=4$,A_B_systematic,,
3.0,0.1351955201994737,0.12880858428171688,0.14164430223145602,$J=4$,A_B_systematic,,
0.5,0.13511712184919883,0.1287447018893594,0.1415205009962404,$J=4$ (replication),A_B_systematic,,
0.75,0.13556530835803932,0.12919740812437608,0.14185164354115323,$J=4$ (replication),A_B_systematic,,
1.0,0.13608005679823204,0.12981802412737903,0.14251920133707974,$J=4$ (replication),A_B_systematic,,
1.25,0.13617971776129326,0.1297944104046531,0.14238580475494536,$J=4$ (replication),A_B_systematic,,
1.5,0.13503602353599486,0.12869663786866717,0.14122695635226637,$J=4$ (replication),A_B_systematic,,
1.75,0.13603741742978995,0.12991886443658995,0.14217003442831694,$J=4$ (replication),A_B_systematic,,
2.0,0.13644790315070826,0.13012057358582,0.14281566941482826,$J=4$ (replication),A_B_systematic,,
3.0,0.13732133400247296,0.1310378206230497,0.14339231297577532,$J=4$ (replication),A_B_systematic,,
0.5,0.08434371950429724,0.081012995753627,0.08759618920002861,$J=8$,A_B_systematic,,
0.75,0.0851269380305128,0.08181224001000553,0.08839171055394872,$J=8$,A_B_systematic,,
1.0,0.08485747739501237,0.0814672597268468,0.08826991855304284,$J=8$,A_B_systematic,,
1.25,0.08338898887501764,0.08007978588872411,0.08674239306191549,$J=8$,A_B_systematic,,
1.5,0.08450011849952496,0.08115001601789136,0.08779907226615556,$J=8$,A_B_systematic,,
1.75,0.08436159733951225,0.08124937502656392,0.08746691378526776,$J=8$,A_B_systematic,,
2.0,0.08569757510836928,0.08240853064141272,0.08905181030786447,$J=8$,A_B_systematic,,
3.0,0.08408155385860311,0.08064575619323536,0.08738915787852534,$J=8$,A_B_systematic,,
0.5,0.26574898901643573,0.25490492803887776,0.27666980403639935,E-step J=4,B_update_error,,
0.75,0.26541845424175325,0.2545032470855259,0.27633674198715735,E-step J=4,B_update_error,,
1.0,0.2655810165954151,0.25476906519818554,0.2761871254570895,E-step J=4,B_update_error,,
1.25,0.26587107963937545,0.2551810178097309,0.2766529888209871,E-step J=4,B_update_error,,
1.5,0.2656568826630793,0.2548220033473416,0.2764410168708206,E-step J=4,B_update_error,,
1.75,0.2655356356555732,0.25473649387822445,0.2764321941592523,E-step J=4,B_update_error,,
2.0,0.266052045864851,0.2553626793284983,0.27692419502505927,E-step J=4,B_update_error,,
3.0,0.26579478004446655,0.25496245293634145,0.2765701736901819,E-step J=4,B_update_error,,
0.5,0.11002554132537469,0.10245541649950414,0.11760487517134938,pathwise J=4,B_update_error,,
0.75,0.15452003540923548,0.14619908762818987,0.16281785250935343,pathwise J=4,B_update_error,,
1.0,0.19032509547939858,0.18205233555756534,0.19844469975323048,pathwise J=4,B_update_error,,
1.25,0.21932316047805572,0.21180401587607986,0.22704949719798517,pathwise J=4,B_update_error,,
1.5,0.2406648472249709,0.2333161530461154,0.24786507935584967,pathwise J=4,B_update_error,,
1.75,0.2581336057671324,0.2516371240590948,0.26466379207974583,pathwise J=4,B_update_error,,
2.0,0.27296178129394044,0.26689101398983583,0.2791850455028969,pathwise J=4,B_update_error,,
3.0,0.3101602427347985,0.3054997852613846,0.314787939246535,pathwise J=4,B_update_error,,
0.5,0.25694900780430674,0.2451108332855835,0.26894469446092917,E-step J=8,B_update_error,,
