d,sigma,r,amplitude,value,ci_lo,ci_hi,panel
4,0.4,0.5,0.25,0.8513486172231886,0.8021573411944798,0.8989381653486815,A_dimensionless_err_channel_log10_WML_over_PW
4,0.4,0.5,1.0,0.4830272880452178,0.4162769515432818,0.5441410608846611,A_dimensionless_err_channel_log10_WML_over_PW
4,0.4,0.5,4.0,-0.504707425650559,-0.5591698835790243,-0.45447922253120615,A_dimensionless_err_channel_log10_WML_over_PW
4,0.4,0.75,0.25,0.492791896016257,0.4550239162314739,0.5294757221502557,A_dimensionless_err_channel_log10_WML_over_PW
4,0.4,0.75,1.0,-0.0629210499934965,-0.11586848683525444,-0.014905819312192219,A_dimensionless_err_channel_log10_WML_over_PW
4,0.4,0.75,4.0,-1.0718568258965486,-1.1115013596829677,-1.0335076021241436,A_dimensionless_err_channel_log10_WML_over_PW
4,0.4,1.0,0.25,0.21103592711705182,0.18000022080481518,0.24111615381360033,A_dimensionless_err_channel_log10_WML_over_PW
4,0.4,1.0,1.0,-0.38477012263909216,-0.41827636798144785,-0.35307936669411044,A_dimensionless_err_channel_log10_WML_over_PW
4,0.4,1.0,4.0,-1.371113145656667,-1.3954775603771412,-1.3478918297196896,A_dimensionless_err_channel_log10_WML_over_PW
4,0.4,1.25,0.25,0.03370183477082389,0.015795385897018788,0.05168743070673754,A_dimensionless_err_channel_log10_WML_over_PW
4,0.4,1.25,1.0,-0.5756212236493449,-0.5917912494119781,-0.5594678426334676,A_dimensionless_err_channel_log10_WML_over_PW
4,0.4,1.25,4.0,-1.563149439055798,-1.5749744315296312,-1.5515896812217747,A_dimensionless_err_channel_log10_WML_over_PW
4,0.4,1.5,0.25,-0.14608288637843328,-0.15585128644512936,-0.13608990636508775,A_dimensionless_err_channel_log10_WML_over_PW
4,0.4,1.5,1.0,-0.7551580100030415,-0.7643575799460592,-0.7461559022996411,A_dimensionless_err_channel_log10_WML_over_PW
4,0.4,1.5,4.0,-1.736363329728342,-1.7444245087803665,-1.7278774203665856,A_dimensionless_err_channel_log10_WML_over_PW
4,0.4,1.75,0.25,-0.277734294614192,-0.286539572458467,-0.26860649013677174,A_dimensionless_err_channel_log10_WML_over_PW
4,0.4,1.75,1.0,-0.8840662460983507,-0.8921203267124529,-0.8763019373131891,A_dimensionless_err_channel_log10_WML_over_PW
4,0.4,1.75,4.0,-1.863255091611419,-1.871118744275197,-1.855618803561533,A_dimensionless_err_channel_log10_WML_over_PW
4,0.4,2.0,0.25,-0.39887228305114303,-0.4072178047397393,-0.39067406241220975,A_dimensionless_err_channel_log10_WML_over_PW
4,0.4,2.0,1.0,-1.0012659286368533,-1.0097943227778479,-0.9923343480432925,A_dimensionless_err_channel_log10_WML_over_PW
4,0.4,2.0,4.0,-1.9817450704293746,-1.9906165787639365,-1.9727084704020872,A_dimensionless_err_channel_log10_WML_over_PW
4,0.4,3.0,0.25,-0.754355631527411,-0.7615998843921923,-0.7470577205733431,A_dimensionless_err_channel_log10_WML_over_PW
4,0.4,3.0,1.0,-1.3603931162282268,-1.367652720408745,-1.3531013933694396,A_dimensionless_err_channel_log10_WML_over_PW
4,0.4,3.0,4.0,-2.3409018164291067,-2.348325611013598,-2.3334378901008996,A_dimensionless_err_channel_log10_WML_over_PW
16,0.4,0.5,0.25,0.9116389928643133,0.8935702828174517,0.9288926184121865,A_dimensionless_err_channel_log10_WML_over_PW
16,0.4,0.5,1.0,0.46176568535049134,0.4358370470578332,0.4865887544016803,A_dimensionless_err_channel_log10_WML_over_PW
16,0.4,0.5,4.0,-0.4824667093122557,-0.5023960365725492,-0.4633743053380048,A_dimensionless_err_channel_log10_WML_over_PW
16,0.4,0.75,0.25,0.5706019105404103,0.5622893827729081,0.5785352294428974,A_dimensionless_err_channel_log10_WML_over_PW
16,0.4,0.75,1.0,0.09318759391570268,0.08401714014868744,0.10213376312506942,A_dimensionless_err_channel_log10_WML_over_PW
16,0.4,0.75,4.0,-0.8496635579123334,-0.8580650466978015,-0.8413990493336873,A_dimensionless_err_channel_log10_WML_over_PW
16,0.4,1.0,0.25,0.320888066556623,0.31337996203992236,0.3286406788796587,A_dimensionless_err_channel_log10_WML_over_PW
16,0.4,1.0,1.0,-0.15446560688396774,-0.16240276503050646,-0.14651374526281316,A_dimensionless_err_channel_log10_WML_over_PW
16,0.4,1.0,4.0,-1.0981242161264892,-1.1059630417369193,-1.0901048888439027,A_dimensionless_err_channel_log10_WML_over_PW
16,0.4,1.25,0.25,0.1278541027706425,0.11937505730603337,0.1360608151936703,A_dimensionless_err_channel_log10_WML_over_PW
16,0.4,1.25,1.0,-0.34873594759829646,-0.357400404148045,-0.34028413005446373,A_dimensionless_err_channel_log10_WML_over_PW
16,0.4,1.25,4.0,-1.2931245815168835,-1.3017652569150906,-1.2846604656839202,A_dimensionless_err_channel_log10_WML_over_PW
16,0.4,1.5,0.25,-0.03859988977388508,-0.04684704840970879,-0.030389784871440832,A_dimensionless_err_channel_log10_WML_over_PW
16,0.4,1.5,1.0,-0.51935080901959,-0.5273672084577408,-0.5113009685819286,A_dimensionless_err_channel_log10_WML_over_PW
16,0.4,1.5,4.0,-1.4621566179316554,-1.4697798123518235,-1.4543840018679106,A_dimensionless_err_channel_log10_WML_over_PW
16,0.4,1.75,0.25,-0.16759207926600023,-0.17624088594956647,-0.15900374205002848,A_dimensionless_err_channel_log10_WML_over_PW
16,0.4,1.75,1.0,-0.6432404572922914,-0.6512097734450772,-0.6350525537692268,A_dimensionless_err_channel_log10_WML_over_PW
16,0.4,1.75,4.0,-1.5876996820387606,-1.5953405257936197,-1.5800789575552612,A_dimensionless_err_channel_log10_WML_over_PW
16,0.4,2.0,0.25,-0.28830047123704877,-0.2967778557145719,-0.2801025014859477,A_dimensionless_err_channel_log10_WML_over_PW
16,0.4,2.0,1.0,-0.7635547730294919,-0.7717303190025888,-0.7553656580934315,A_dimensionless_err_channel_log10_WML_over_PW
16,0.4,2.0,4.0,-1.706464812064644,-1.7143740766302118,-1.6984938602027764,A_dimensionless_err_channel_log10_WML_over_PW
16,0.4,3.0,0.25,-0.6415302289560657,-0.6490031756901242,-0.6339725219387896,A_dimensionless_err_channel_log10_WML_over_PW
16,0.4,3.0,1.0,-1.1186243048563604,-1.125623921686676,-1.111579506288872,A_dimensionless_err_channel_log10_WML_over_PW
16,0.4,3.0,4.0,-2.0633427607980432,-2.07012048862152,-2.056546190753163,A_dimensionless_err_channel_log10_WML_over_PW
64,0.4,0.5,0.25,0.9473457934372035,0.9391755214674548,0.95555481441444,A_dimensionless_err_channel_log10_WML_over_PW
64,0.4,0.5,1.0,0.710502884838998,0.7029182000453694,0.7180325581274564,A_dimensionless_err_channel_log10_WML_over_PW
