d,r_eff,J,value,ci_lo,ci_hi,panel
4,0.5,1,0.6993062149959681,0.6083206370241984,0.7922674154678909,A_B_conditional_bias
4,0.5,4,0.37084731741265375,0.3500795165871562,0.39166078171188434,A_B_conditional_bias
4,0.75,1,0.6132327697478585,0.5580409934999171,0.6702239081416373,A_B_conditional_bias
4,0.75,4,0.2778833195273255,0.27202735136905654,0.28367671114464066,A_B_conditional_bias
4,1.0,1,0.5604396773599245,0.532268189869842,0.5907724741870164,A_B_conditional_bias
4,1.0,4,0.27386310033947575,0.2722152799910594,0.27556267578034255,A_B_conditional_bias
4,1.25,1,0.4847210718327795,0.46796312355810094,0.5020613147566292,A_B_conditional_bias
4,1.25,4,0.2727844140546005,0.27120671428819704,0.274349111163721,A_B_conditional_bias
4,1.5,1,0.4683296391566615,0.4620499049172227,0.4747560419925182,A_B_conditional_bias
4,1.5,4,0.2727903743957657,0.27121582298545477,0.2743476276130368,A_B_conditional_bias
4,1.75,1,0.46561832038325796,0.46324082091974833,0.46796712619346903,A_B_conditional_bias
4,1.75,4,0.272478396239647,0.27097205206870245,0.2740774065023045,A_B_conditional_bias
4,2.0,1,0.46355242571056376,0.46161394521838367,0.46554184767091356,A_B_conditional_bias
4,2.0,4,0.27322757943875425,0.2719359904413696,0.2745294795736638,A_B_conditional_bias
4,3.0,1,0.46571771640404735,0.4638976905381883,0.46759418147839094,A_B_conditional_bias
4,3.0,4,0.2738899416920654,0.27246716167247836,0.27532059647291135,A_B_conditional_bias
16,0.5,1,0.49951647337862454,0.4707258901522633,0.5283819908108273,A_B_conditional_bias
16,0.5,4,0.17138062166456233,0.1693582946155325,0.17333914373082607,A_B_conditional_bias
16,0.75,1,0.35743361653910943,0.3532791872915859,0.3618088329363105,A_B_conditional_bias
16,0.75,4,0.17036649218346245,0.1686191915124243,0.17212775222683757,A_B_conditional_bias
16,1.0,1,0.3569696349305405,0.3543874891299186,0.35964525189476015,A_B_conditional_bias
16,1.0,4,0.1719217540093233,0.16981838349400333,0.1739031861042066,A_B_conditional_bias
16,1.25,1,0.35515799979392626,0.35254801905692884,0.35778117924564024,A_B_conditional_bias
16,1.25,4,0.17203408079649335,0.1698671583554863,0.17426818606119995,A_B_conditional_bias
16,1.5,1,0.35812075042760994,0.3554912480523723,0.36075966612407173,A_B_conditional_bias
16,1.5,4,0.17260819760696958,0.17051258026694216,0.1746191050614201,A_B_conditional_bias
16,1.75,1,0.35668555376591354,0.35390802315986936,0.3594423167437392,A_B_conditional_bias
16,1.75,4,0.17140923103719286,0.1694165694046428,0.17343844613356377,A_B_conditional_bias
16,2.0,1,0.35779632934084904,0.3550853809355724,0.3604456301363785,A_B_conditional_bias
16,2.0,4,0.17209593386641947,0.17023602726012463,0.1739684707994425,A_B_conditional_bias
16,3.0,1,0.35510063096006417,0.3523508019356136,0.35788057143761415,A_B_conditional_bias
16,3.0,4,0.17096128706049257,0.16903173538674063,0.17284665188474255,A_B_conditional_bias
64,0.5,1,0.22827724928912285,0.22496276785087332,0.231593603960362,A_B_conditional_bias
64,0.5,4,0.10239720335182381,0.1004717171865968,0.1044034746247626,A_B_conditional_bias
64,0.75,1,0.22373681380024213,0.22014582336392174,0.22716476234515104,A_B_conditional_bias
64,0.75,4,0.0995555654474269,0.09760785776595868,0.1015842638086246,A_B_conditional_bias
64,1.0,1,0.2237080258651807,0.2203293509489046,0.22689907381419183,A_B_conditional_bias
64,1.0,4,0.09881608473469533,0.09693314489029016,0.10074244539320625,A_B_conditional_bias
64,1.25,1,0.22614693485236106,0.2223797850101511,0.22991344988831888,A_B_conditional_bias
64,1.25,4,0.09994515090275491,0.09802438059095676,0.10189568155578037,A_B_conditional_bias
64,1.5,1,0.22484885484905984,0.2218224405185128,0.22784963779680473,A_B_conditional_bias
64,1.5,4,0.09830993143231284,0.09634106669632515,0.10042473089706999,A_B_conditional_bias
64,1.75,1,0.225008465112856,0.22131119793867737,0.22872411871995207,A_B_conditional_bias
64,1.75,4,0.09994785203735107,0.09788991353862846,0.1020182999500877,A_B_conditional_bias
64,2.0,1,0.2251717333852355,0.222161610342199,0.22827928975492548,A_B_conditional_bias
64,2.0,4,0.09990541867766076,0.09801459713628663,0.10184786376932442,A_B_conditional_bias
64,3.0,1,0.2253435867922119,0.22221237361182303,0.2284902294937581,A_B_conditional_bias
64,3.0,4,0.09942975333845483,0.09752248037337047,0.10132086274724712,A_B_conditional_bias
4,0.5,1,0.03919345496532167,0.03145555390700118,0.04720126168479087,B_operational_gap
4,0.5,4,0.056122537945113626,0.05289339672015897,0.05961490397012289,B_operational_gap
4,0.75,1,0.06235334819475628,0.055822410379670374,0.06905727373507586,B_operational_gap
4,0.75,4,0.03629341558204813,0.034765162419196416,0.0378235760899739,B_operational_gap
4,1.0,1,0.07384150118750718,0.06768118296236943,0.08056481396228284,B_operational_gap
4,1.0,4,0.01326375069763345,0.012295612890128245,0.014245679527982514,B_operational_gap
4,1.25,1,0.04952298135132948,0.04572582692792564,0.05344911314190914,B_operational_gap
4,1.25,4,-0.011837776568724673,-0.012766140520246732,-0.010874089221368495,B_operational_gap
4,1.5,1,0.02997616094345636,0.026993725412727765,0.032803922331789324,B_operational_gap
4,1.5,4,-0.0367624546185326,-0.038007237928437715,-0.035514224292589935,B_operational_gap
4,1.75,1,0.014916803258778033,0.01154896547703127,0.018019181958295657,B_operational_gap
4,1.75,4,-0.06034746096069574,-0.061778352013623986,-0.05883447087829728,B_operational_gap
4,2.0,1,-0.0023953179731368247,-0.006577015099493459,0.0012778676268075443,B_operational_gap
4,2.0,4,-0.08291788496894748,-0.08441018016613405,-0.08140655982841291,B_operational_gap
4,3.0,1,-0.04562887286931212,-0.05111509994992138,-0.04051187300082475,B_operational_gap
4,3.0,4,-0.14749141168232818,-0.1492810788541222,-0.1457249385376761,B_operational_gap
16,0.5,1,0.16974082477774127,0.166976859482988,0.172600421642422,B_operational_gap
16,0.5,4,0.1367186396237279,0.1357262381840038,0.1377075094517127,B_operational_gap
16,0.75,1,0.15339869224207103,0.15189544148808476,0.15489723773624084,B_operational_gap
16,0.75,4,0.0957392733195605,0.09474337245791024,0.09672396110799637,B_operational_gap
16,1.0,1,0.12840084358871642,0.12706230458472753,0.1297661307903308,B_operational_gap
16,1.0,4,0.0607231735097033,0.059659540968114405,0.06172046739930455,B_operational_gap
16,1.25,1,0.10551054403628311,0.1036305403211281,0.10731724790506751,B_operational_gap
16,1.25,4,0.028053987843131768,0.026732714550062663,0.029385216298939188,B_operational_gap
16,1.5,1,0.08755083908604389,0.0860949576082808,0.08897355378151772,B_operational_gap
16,1.5,4,0.0042082495142282735,0.0025080820072413187,0.005898813589441364,B_operational_gap
16,1.75,1,0.07053034461090105,0.06827963382342464,0.07252375243652946,B_operational_gap
16,1.75,4,-0.017566918612185237,-0.019043362921669804,-0.0161447952207439,B_operational_gap
16,2.0,1,0.056466584081350205,0.0541427527932831,0.0587329342688525,B_operational_gap
16,2.0,4,-0.033908904018656386,-0.0356519889076481,-0.032269044293473104,B_operational_gap
16,3.0,1,0.014761179640871775,0.01281839812442061,0.01665941768312668,B_operational_gap
16,3.0,4,-0.08055467732659782,-0.08231866648514219,-0.07879818370186521,B_operational_gap
64,0.5,1,0.20699435526079835,0.20606220507371648,0.20794445613168447,B_operational_gap
64,0.5,4,0.17472825575839412,0.17396219973141178,0.17550519891758104,B_operational_gap
64,0.75,1,0.16993195835570332,0.16885733661417807,0.1710042493770685,B_operational_gap
64,0.75,4,0.12605756434547494,0.12520885013803087,0.12692109246385413,B_operational_gap
64,1.0,1,0.14295242832629468,0.14178477110707421,0.14413575139865734,B_operational_gap
64,1.0,4,0.08978866872232956,0.08884856826108657,0.0907434271626903,B_operational_gap
