J,d,r_eff,r_inf,r_nom,ratio,ci_lo,ci_hi,n_blocks
1,4,0.5,0.5,0.5,4.611934937137136,4.1802205543802256,5.102102414896395,64
1,4,0.75,0.75,0.75,1.8420563046237581,1.8110731028952305,1.8748562063837324,64
1,4,1.0,1.0,1.0,0.9919848392131144,0.9767314201801314,1.0074583012254044,64
1,4,1.25,1.25,1.25,0.6133587467191198,0.6041364856896441,0.622583057070682,64
1,4,1.5,1.5,1.5,0.4286437723607582,0.42213774126840303,0.4351859766631729,64
1,4,1.75,1.75,1.75,0.3221561044452983,0.3173592167251415,0.3271052194970094,64
1,4,2.0,2.0,2.0,0.24310970052549216,0.2390746147185066,0.2471663429809765,64
1,4,3.0,3.0,3.0,0.10884062910898874,0.1064749772003156,0.11123568235133029,64
1,16,0.5,0.5,0.5,3.8701493415209605,3.8067249902076408,3.93576718168172,64
1,16,0.75,0.75,0.75,1.7199323682227643,1.6934938155865278,1.7458098146218708,64
1,16,1.0,1.0,1.0,0.9635853268151601,0.9495765901615253,0.9776052534567203,64
1,16,1.25,1.25,1.25,0.6182634900408899,0.6088138328639786,0.628148440247382,64
1,16,1.5,1.5,1.5,0.4310939188116151,0.4247225396061435,0.4375541136781712,64
1,16,1.75,1.75,1.75,0.31962852758097293,0.31502326945972053,0.3241681630850105,64
1,16,2.0,2.0,2.0,0.24195612367848457,0.23780622967304027,0.24630293786581994,64
1,16,3.0,3.0,3.0,0.10724027382578832,0.10539318137609813,0.10915188459267582,64
1,64,0.5,0.5,0.5,3.875551056392212,3.8195773893942504,3.934590148917781,64
1,64,0.75,0.75,0.75,1.70609613196612,1.6755665538894098,1.7369234459028422,64
1,64,1.0,1.0,1.0,0.9644276856710764,0.9501996362239105,0.9788292580633909,64
1,64,1.25,1.25,1.25,0.6213145890472939,0.6117316290484549,0.6311760530803069,64
1,64,1.5,1.5,1.5,0.4348012922057593,0.4284524398482497,0.4411998360332203,64
1,64,1.75,1.75,1.75,0.31395652744706165,0.3092282142485272,0.31889885573794263,64
1,64,2.0,2.0,2.0,0.2410676645973917,0.23722232354286513,0.24507155585046794,64
1,64,3.0,3.0,3.0,0.1077375706371485,0.10617159995832992,0.1094405339855524,64
4,4,0.5,0.5,1.0,0.9885479743775598,0.9772393348358633,1.000033520706772,64
4,4,0.75,0.75,1.5,0.43357873530258895,0.4294448914804079,0.43775271189565906,64
4,4,1.0,1.0,2.0,0.24316653740659142,0.24040518537454925,0.24597902115272208,64
4,4,1.25,1.25,2.5,0.15518232860614725,0.15353344161942328,0.15684243158887023,64
4,4,1.5,1.5,3.0,0.10718503874178147,0.10612197416690669,0.10830353755880104,64
4,4,1.75,1.75,3.5,0.07859167016281024,0.07761743225227327,0.07956296051365175,64
4,4,2.0,2.0,4.0,0.060978084706603715,0.06033392050840907,0.06162274194090454,64
4,4,3.0,3.0,6.0,0.027192280607210732,0.026889618157382295,0.027490488453491817,64
4,16,0.5,0.5,1.0,0.9673842566661439,0.9572547529381553,0.9774218168664566,64
4,16,0.75,0.75,1.5,0.42787561261735657,0.4237628291825036,0.43191611897509724,64
4,16,1.0,1.0,2.0,0.24184120799704198,0.23950788747575663,0.24426552634949197,64
4,16,1.25,1.25,2.5,0.1541969208548943,0.1525796348055757,0.1558146878822081,64
4,16,1.5,1.5,3.0,0.10785499945490301,0.10684158594915681,0.10889590160775951,64
4,16,1.75,1.75,3.5,0.07918840641890829,0.07851024663829896,0.07990933959268243,64
4,16,2.0,2.0,4.0,0.06053632523264326,0.06000546632136769,0.061065199451608564,64
4,16,3.0,3.0,6.0,0.026862750920393984,0.02664999638074438,0.027082198792979833,64
4,64,0.5,0.5,1.0,0.9634941839377547,0.955703127458765,0.9711863163127603,64
4,64,0.75,0.75,1.5,0.4311154976794778,0.42758723296474954,0.4347163326998063,64
4,64,1.0,1.0,2.0,0.24165662502078616,0.2394533701808506,0.2438738590726797,64
