task,d,seed,pw_score_window3,wml_score_window3,diff_pw_minus_wml
walker,6,301,909.7893,784.5499,125.2394
walker,6,302,898.4741,777.2048,121.2693
walker,6,303,907.8732,798.9025,108.9707
walker,6,304,910.9802,710.2243,200.7559
walker,6,305,908.4419,762.5137,145.9282
walker,6,306,909.2847,717.0112,192.2735
walker,6,307,912.1907,887.0840,25.1068
walker,6,308,915.0308,646.5341,268.4966
g1,29,301,26.9824,15.6243,11.3581
g1,29,302,29.5984,17.4085,12.1899
g1,29,303,18.7862,14.5282,4.2580
g1,29,304,11.9215,9.1405,2.7810
g1,29,305,23.5889,15.9176,7.6712
g1,29,306,11.1476,9.3275,1.8201
g1,29,307,30.0075,11.8350,18.1725
g1,29,308,29.6956,14.4182,15.2774
leap,16,301,35.3395,26.5971,8.7424
leap,16,302,29.2883,17.7655,11.5228
leap,16,303,16.0238,15.6912,0.3326
leap,16,304,30.0456,21.7869,8.2587
leap,16,305,35.0356,35.7677,-0.7321
leap,16,306,33.7935,23.2654,10.5281
leap,16,307,28.9198,36.0386,-7.1188
leap,16,308,32.5220,33.8608,-1.3388
