task,d,seed,pw_median_sigma,wml_median_sigma,ratio,pw_sat95,wml_sat95,pw_sat99,wml_sat99
walker,6,301,0.483619,5.872009,12.141807,0.231317,0.779095,0.089407,0.700040
walker,6,302,0.448379,9.707865,21.651022,0.209888,0.810592,0.073269,0.737192
walker,6,303,0.467826,5.947535,12.713132,0.225509,0.774727,0.088211,0.695124
walker,6,304,0.447163,8.671695,19.392714,0.222940,0.799909,0.084038,0.730080
walker,6,305,0.462315,10.948236,23.681315,0.252981,0.809316,0.109302,0.745588
walker,6,306,0.451513,4.450918,9.857793,0.214065,0.741620,0.071560,0.655306
walker,6,307,0.435779,3.825628,8.778822,0.216446,0.729366,0.077581,0.639631
walker,6,308,0.442203,20.071539,45.389867,0.261187,0.843971,0.116340,0.790156
g1,29,301,0.285389,0.479855,1.681406,0.154478,0.337489,0.062754,0.221728
g1,29,302,0.298584,0.431216,1.444203,0.166072,0.333387,0.069184,0.214781
g1,29,303,0.276996,0.586574,2.117626,0.147818,0.373668,0.057446,0.256803
g1,29,304,0.341536,0.698720,2.045813,0.232565,0.388941,0.103070,0.260301
g1,29,305,0.293711,0.386698,1.316594,0.162584,0.346302,0.069834,0.235658
g1,29,306,0.361332,1.031311,2.854195,0.236381,0.469404,0.106147,0.333123
g1,29,307,0.283858,0.513884,1.810355,0.153304,0.355636,0.058431,0.237353
g1,29,308,0.260431,0.468715,1.799768,0.145406,0.330254,0.057838,0.215805
leap,16,301,0.578848,3.569262,6.166151,0.386212,0.678201,0.230982,0.576827
leap,16,302,0.742291,1.607141,2.165108,0.401826,0.517475,0.266973,0.393108
leap,16,303,0.621012,4.332556,6.976611,0.284929,0.683810,0.154207,0.585730
leap,16,304,0.418717,2.829185,6.756797,0.271384,0.596980,0.136694,0.502317
leap,16,305,0.438280,7.245135,16.530853,0.276097,0.757727,0.128157,0.672765
leap,16,306,0.651153,1.407117,2.160963,0.354259,0.485192,0.210423,0.359690
leap,16,307,0.698052,3.408521,4.882901,0.330866,0.694974,0.196600,0.601497
leap,16,308,0.481421,3.174086,6.593162,0.240676,0.687980,0.112219,0.587827
