d,sigma,omega,sigma_omega_over_sqrt_d,var_ratio_zo_over_pw
2,0.05,0.5,0.0176777,5959.63
2,0.05,1,0.0353553,1089.06
2,0.05,2,0.0707107,508.257
2,0.05,4,0.141421,65.9947
2,0.05,8,0.282843,23.6913
2,0.05,16,0.565685,5.40437
2,0.05,32,1.13137,0.853296
2,0.05,64,2.26274,0.188094
2,0.1,0.5,0.0353553,1963.97
2,0.1,1,0.0707107,311.462
2,0.1,2,0.141421,39.118
2,0.1,4,0.282843,13.277
2,0.1,8,0.565685,3.84548
2,0.1,16,1.13137,0.842699
2,0.1,32,2.26274,0.189093
2,0.1,64,4.52548,0.0474139
2,0.2,0.5,0.0707107,602.233
2,0.2,1,0.141421,41.9517
2,0.2,2,0.282843,20.8007
2,0.2,4,0.565685,3.4134
2,0.2,8,1.13137,0.858902
2,0.2,16,2.26274,0.190189
2,0.2,32,4.52548,0.0479724
2,0.2,64,9.05097,0.0116751
2,0.4,0.5,0.141421,72.8781
2,0.4,1,0.282843,50.8175
2,0.4,2,0.565685,4.10483
2,0.4,4,1.13137,0.81552
2,0.4,8,2.26274,0.187582
2,0.4,16,4.52548,0.0479053
2,0.4,32,9.05097,0.011821
2,0.4,64,18.1019,0.002951
2,0.8,0.5,0.282843,19.274
2,0.8,1,0.565685,4.1466
2,0.8,2,1.13137,0.88617
2,0.8,4,2.26274,0.191131
2,0.8,8,4.52548,0.047471
2,0.8,16,9.05097,0.011781
2,0.8,32,18.1019,0.00295291
2,0.8,64,36.2039,0.000746623
4,0.05,0.5,0.0125,37337.8
4,0.05,1,0.025,2323.19
4,0.05,2,0.05,309.57
4,0.05,4,0.1,90.891
4,0.05,8,0.2,50.8207
4,0.05,16,0.4,6.57583
4,0.05,32,0.8,1.60906
4,0.05,64,1.6,0.375437
4,0.1,0.5,0.025,2090.67
4,0.1,1,0.05,237.837
4,0.1,2,0.1,55.8657
4,0.1,4,0.2,28.7189
4,0.1,8,0.4,6.25832
4,0.1,16,0.8,1.58794
4,0.1,32,1.6,0.377046
4,0.1,64,3.2,0.0933842
4,0.2,0.5,0.05,401.476
4,0.2,1,0.1,114.901
4,0.2,2,0.2,23.3588
4,0.2,4,0.4,8.60112
4,0.2,8,0.8,1.58274
4,0.2,16,1.6,0.377024
4,0.2,32,3.2,0.0956067
4,0.2,64,6.4,0.0237388
4,0.4,0.5,0.1,140.341
4,0.4,1,0.2,10.9778
4,0.4,2,0.4,7.22105
4,0.4,4,0.8,1.59273
4,0.4,8,1.6,0.383225
4,0.4,16,3.2,0.0944809
4,0.4,32,6.4,0.0235471
4,0.4,64,12.8,0.00594828
4,0.8,0.5,0.2,27.1972
4,0.8,1,0.4,8.58305
4,0.8,2,0.8,1.60651
4,0.8,4,1.6,0.37885
4,0.8,8,3.2,0.095563
4,0.8,16,6.4,0.0237108
4,0.8,32,12.8,0.00595872
4,0.8,64,25.6,0.00147619
8,0.05,0.5,0.00883883,17906.6
8,0.05,1,0.0176777,3594.16
8,0.05,2,0.0353553,1362.84
8,0.05,4,0.0707107,259.418
8,0.05,8,0.141421,76.7636
8,0.05,16,0.282843,19.5892
8,0.05,32,0.565685,3.10074
8,0.05,64,1.13137,0.762731
8,0.1,0.5,0.0176777,2070.12
8,0.1,1,0.0353553,1107.93
8,0.1,2,0.0707107,186.137
8,0.1,4,0.141421,20.4985
8,0.1,8,0.282843,12.0353
8,0.1,16,0.565685,3.15613
8,0.1,32,1.13137,0.761878
8,0.1,64,2.26274,0.189933
8,0.2,0.5,0.0353553,578.194
8,0.2,1,0.0707107,200.879
8,0.2,2,0.141421,87.7578
8,0.2,4,0.282843,19.008
8,0.2,8,0.565685,3.24411
8,0.2,16,1.13137,0.752433
8,0.2,32,2.26274,0.189455
8,0.2,64,4.52548,0.0475925
8,0.4,0.5,0.0707107,252.394
8,0.4,1,0.141421,42.9347
8,0.4,2,0.282843,22.15
8,0.4,4,0.565685,3.15976
8,0.4,8,1.13137,0.758891
8,0.4,16,2.26274,0.190459
8,0.4,32,4.52548,0.0468127
8,0.4,64,9.05097,0.011697
8,0.8,0.5,0.141421,70.1411
8,0.8,1,0.282843,12.3532
8,0.8,2,0.565685,3.16911
8,0.8,4,1.13137,0.758286
8,0.8,8,2.26274,0.188243
8,0.8,16,4.52548,0.0468809
8,0.8,32,9.05097,0.0119045
8,0.8,64,18.1019,0.00296676
16,0.05,0.5,0.00625,42555.1
16,0.05,1,0.0125,6365.17
16,0.05,2,0.025,1171.07
16,0.05,4,0.05,601.34
16,0.05,8,0.1,94.1451
16,0.05,16,0.2,23.2868
16,0.05,32,0.4,6.09715
16,0.05,64,0.8,1.52183
16,0.1,0.5,0.0125,6565.68
16,0.1,1,0.025,2354.77
16,0.1,2,0.05,604.602
16,0.1,4,0.1,160.463
16,0.1,8,0.2,33.3865
16,0.1,16,0.4,6.12283
16,0.1,32,0.8,1.52035
16,0.1,64,1.6,0.380402
16,0.2,0.5,0.025,2755.51
16,0.2,1,0.05,204.514
16,0.2,2,0.1,46.565
16,0.2,4,0.2,26.2765
16,0.2,8,0.4,6.3574
16,0.2,16,0.8,1.51516
16,0.2,32,1.6,0.374931
16,0.2,64,3.2,0.0943111
16,0.4,0.5,0.05,342.757
16,0.4,1,0.1,51.7059
16,0.4,2,0.2,27.8104
16,0.4,4,0.4,6.22689
16,0.4,8,0.8,1.49323
16,0.4,16,1.6,0.379405
16,0.4,32,3.2,0.0958472
16,0.4,64,6.4,0.023683
16,0.8,0.5,0.1,82.1583
16,0.8,1,0.2,17.812
16,0.8,2,0.4,5.80235
16,0.8,4,0.8,1.51896
16,0.8,8,1.6,0.377649
16,0.8,16,3.2,0.0941957
16,0.8,32,6.4,0.0236494
16,0.8,64,12.8,0.00589623
32,0.05,0.5,0.00441942,35715.1
32,0.05,1,0.00883883,14574.1
32,0.05,2,0.0176777,3073.89
32,0.05,4,0.0353553,694.18
32,0.05,8,0.0707107,313.732
32,0.05,16,0.141421,53.9713
32,0.05,32,0.282843,11.9359
32,0.05,64,0.565685,3.04058
32,0.1,0.5,0.00883883,10318.1
32,0.1,1,0.0176777,1141.77
32,0.1,2,0.0353553,1300.7
32,0.1,4,0.0707107,235.535
32,0.1,8,0.141421,41.4966
32,0.1,16,0.282843,12.7086
32,0.1,32,0.565685,3.03451
32,0.1,64,1.13137,0.750192
32,0.2,0.5,0.0176777,1377.5
32,0.2,1,0.0353553,1055.68
32,0.2,2,0.0707107,213.634
32,0.2,4,0.141421,41.7807
32,0.2,8,0.282843,11.9324
32,0.2,16,0.565685,2.96868
32,0.2,32,1.13137,0.756512
32,0.2,64,2.26274,0.187978
32,0.4,0.5,0.0353553,546.63
32,0.4,1,0.0707107,303.155
32,0.4,2,0.141421,43.9709
32,0.4,4,0.282843,11.9284
32,0.4,8,0.565685,3.0517
32,0.4,16,1.13137,0.756748
32,0.4,32,2.26274,0.18733
32,0.4,64,4.52548,0.0472065
32,0.8,0.5,0.0707107,227.07
32,0.8,1,0.141421,38.0076
32,0.8,2,0.282843,12.1307
32,0.8,4,0.565685,2.98826
32,0.8,8,1.13137,0.743209
32,0.8,16,2.26274,0.189073
32,0.8,32,4.52548,0.0474074
32,0.8,64,9.05097,0.0118297
64,0.05,0.5,0.003125,155697
64,0.05,1,0.00625,25479.3
64,0.05,2,0.0125,8850.23
64,0.05,4,0.025,2036.03
64,0.05,8,0.05,301.026
64,0.05,16,0.1,109.23
64,0.05,32,0.2,24.5641
64,0.05,64,0.4,5.98349
64,0.1,0.5,0.00625,20921.6
64,0.1,1,0.0125,3422
64,0.1,2,0.025,1242.57
64,0.1,4,0.05,437.243
64,0.1,8,0.1,94.6423
64,0.1,16,0.2,26.5466
64,0.1,32,0.4,6.02634
64,0.1,64,0.8,1.51143
64,0.2,0.5,0.0125,14979.1
64,0.2,1,0.025,2570.53
64,0.2,2,0.05,411.837
64,0.2,4,0.1,103.531
64,0.2,8,0.2,23.7737
64,0.2,16,0.4,6.07057
64,0.2,32,0.8,1.53176
64,0.2,64,1.6,0.378202
64,0.4,0.5,0.025,2027.61
64,0.4,1,0.05,616.57
64,0.4,2,0.1,102.835
64,0.4,4,0.2,24.4855
64,0.4,8,0.4,6.0124
64,0.4,16,0.8,1.49961
64,0.4,32,1.6,0.376506
64,0.4,64,3.2,0.0947658
64,0.8,0.5,0.05,273.769
64,0.8,1,0.1,47.6266
64,0.8,2,0.2,25.9065
64,0.8,4,0.4,6.06955
64,0.8,8,0.8,1.51122
64,0.8,16,1.6,0.379755
64,0.8,32,3.2,0.0940624
64,0.8,64,6.4,0.0237281
