ckpt,state,state_source,mean_e,centered_e_power_AB,uncentered_e_power_AB,q_phi_mean,sigma_rms,clip_rate_k
PW,0,PW,1.473678,-0.023756,2.145765,77.7302,0.49208,0.0000
PW,1,PW,1.631026,0.094078,2.748414,83.7600,0.50166,0.0000
PW,2,PW,1.024323,0.098492,1.141256,79.4725,0.48096,0.0000
PW,3,PW,1.150573,0.058094,1.378090,79.2171,0.49880,0.0000
PW,4,PW,0.930139,-0.032733,0.834455,77.7056,0.50022,0.0000
PW,5,PW,1.937683,-0.020890,3.732190,79.9259,0.53655,0.0000
PW,6,PW,1.451579,-0.000750,2.104593,82.0659,0.61547,0.0000
PW,7,PW,1.286295,-0.028174,1.611786,77.9358,0.48341,0.0000
PW,8,PW,1.290606,-0.005434,1.659583,78.2407,0.50298,0.0000
PW,9,PW,1.456967,0.007760,2.098142,76.2746,0.47159,0.0000
PW,10,PW,1.630305,0.039821,2.695207,85.2322,0.47085,0.0000
PW,11,PW,1.177538,0.094610,1.474495,83.9327,0.63807,0.0000
PW,12,PW,0.984541,-0.000568,0.968378,83.7455,0.34272,0.0000
PW,13,PW,2.604940,0.073322,6.851589,78.2949,0.51656,0.0000
PW,14,PW,1.407163,0.026457,1.999002,80.6544,0.52485,0.0000
PW,15,PW,1.759318,-0.004751,3.084400,82.6694,0.55869,0.0000
PW,16,PW,1.369561,0.158372,2.023823,82.1140,0.50463,0.0000
PW,17,PW,1.648709,0.007483,2.725209,82.9335,0.59525,0.0000
PW,18,PW,0.935480,-0.010847,0.850373,81.9982,0.54166,0.0000
PW,19,PW,1.520993,0.050502,2.360761,84.5726,0.34006,0.0000
PW,20,PW,1.456638,0.015720,2.136049,84.4823,0.52552,0.0000
PW,21,PW,1.726037,-0.089224,2.881879,80.8662,0.46844,0.0000
PW,22,PW,0.991303,-0.017078,0.962870,80.6415,0.51272,0.0000
PW,23,PW,1.510129,0.056931,2.325130,80.3525,0.50801,0.0000
PW,24,PW,1.552244,0.011347,2.419180,85.6927,0.54814,0.0000
PW,25,PW,2.128123,0.043991,4.568738,80.5625,0.49141,0.0000
PW,26,PW,1.017024,0.000399,1.026637,76.8051,0.50086,0.0625
PW,27,PW,7.798459,5.587264,65.983327,54.2456,0.68130,0.0000
PW,28,PW,4.249294,0.541158,18.563465,76.0995,0.56059,0.0000
PW,29,PW,1.349997,0.052780,1.869540,80.3516,0.51817,0.0000
PW,30,PW,3.119273,0.005183,9.691734,78.5192,0.54168,0.0000
PW,31,PW,0.935445,0.106345,0.971581,84.2324,0.41757,0.0000
PW,32,WML,4.189267,2.396549,19.756525,60.8819,0.66874,0.0000
PW,33,WML,2.732368,0.268478,7.717093,64.2733,0.50178,0.0000
PW,34,WML,-0.464041,2.017761,2.102955,64.2069,0.58769,0.3125
PW,35,WML,40.817345,173.553729,1827.762613,59.9935,0.68477,0.0000
PW,36,WML,47.149250,-0.001754,2222.953580,49.8084,0.70329,0.0000
PW,37,WML,-0.142035,0.393791,0.358214,65.9992,0.57899,0.0000
PW,38,WML,9.069734,-1.577918,80.764378,61.1779,0.61833,0.0000
PW,39,WML,2.955143,0.945582,9.479543,68.4290,0.57125,0.1875
PW,40,WML,0.992634,0.174596,1.126681,78.9959,0.48233,0.0000
PW,41,WML,2.629415,0.215262,7.114423,73.1123,0.55209,0.0000
PW,42,WML,9.966992,3.027082,101.584979,58.6019,0.76901,0.0000
PW,43,WML,0.292362,-0.267742,-0.183258,68.0284,0.57341,0.0625
PW,44,WML,1.874416,-0.320984,3.211366,67.2790,0.66562,0.5625
PW,45,WML,0.674112,0.018721,0.471173,80.7905,0.47779,0.0000
PW,46,WML,1.720099,0.077136,3.023930,76.4716,0.41522,0.0000
PW,47,WML,3.045029,-1.260977,8.089450,62.4128,0.69802,0.7500
PW,48,WML,2.297831,-0.034922,5.247178,75.8719,0.56380,0.0000
PW,49,WML,0.863196,0.087091,0.826592,67.6666,0.50242,0.0000
PW,50,WML,14.520631,1.117393,211.613631,60.8242,0.59256,0.0625
PW,51,WML,-4.395186,0.584094,19.819673,65.0173,0.52711,0.0000
PW,52,WML,1.193976,0.134877,1.538203,81.6985,0.57400,0.0000
PW,53,WML,2.807885,0.215092,8.073549,73.5289,0.53925,0.0625
PW,54,WML,-3.352990,4.080747,15.051894,44.3815,0.61941,0.0000
PW,55,WML,47.736124,0.566270,2279.268371,49.9637,0.75267,0.0000
PW,56,WML,0.344362,0.005562,0.123795,77.2911,0.45803,0.0000
PW,57,WML,10.469743,9.770307,118.151016,72.7489,0.47979,0.1875
PW,58,WML,3.925104,0.138587,15.535251,68.2367,0.61896,0.0000
PW,59,WML,0.767768,0.207426,0.783433,59.9831,0.53518,0.0000
PW,60,WML,4.415446,2.215589,21.547475,67.4811,0.61435,0.0000
PW,61,WML,-1.822164,0.105296,3.391962,66.5839,0.56006,0.0000
PW,62,WML,8.474502,-5.590904,66.416787,52.9169,0.84676,0.0000
PW,63,WML,2.779628,0.700537,8.375391,60.9085,0.67283,0.1875
WML,0,PW,1.772794,48.655495,48.707588,50.7300,0.83463,1.0000
WML,1,PW,34.226209,1289.163389,2378.634137,40.5875,1.56621,1.0000
WML,2,PW,-18.835145,-11.085343,337.014247,26.7071,1.88561,1.0000
WML,3,PW,92.497810,572.144848,9073.194298,26.3737,12.73262,1.0000
WML,4,PW,33.922805,616.479694,1725.438463,42.2890,662.82628,1.0000
WML,5,PW,10.171470,-21.388394,83.387744,47.3361,1.02528,0.8750
WML,6,PW,8.500905,16.259254,87.499837,50.4673,2.37261,1.0000
WML,7,PW,18.484951,77.952645,405.465643,51.2617,2.97629,1.0000
WML,8,PW,16.069606,113.860862,356.550724,51.0390,1.12736,1.0000
WML,9,PW,13.470861,28.973038,207.658429,44.7699,4.09116,1.0000
WML,10,PW,-10.670161,36.770493,143.335294,40.4194,0.82104,0.8125
WML,11,PW,41.924971,-85.886098,1676.817843,49.3999,4.43853,0.9375
WML,12,PW,54.132184,-110.919712,2816.886611,0.3167,58.88043,1.0000
WML,13,PW,-0.764014,-29.199421,-34.792071,46.1419,4.61475,1.0000
WML,14,PW,-0.700412,192.438829,174.689701,38.6623,2.68861,0.7500
WML,15,PW,131.938549,193.708340,17533.873501,38.5989,1.95797,1.0000
WML,16,PW,43.507372,2106.877878,3812.589263,22.9450,5.64735,0.9375
WML,17,PW,-1.293219,18.286886,18.812469,46.4828,1.03140,1.0000
WML,18,PW,9.870029,1400.561310,1409.902115,5.0521,12.81948,1.0000
WML,19,PW,97.515935,369.749968,9855.491044,0.9986,2.54878,1.0000
WML,20,PW,10.648298,621.734629,695.281385,21.4229,47.08168,1.0000
WML,21,PW,17.851696,-19.848925,299.740333,47.3348,22.90939,1.0000
WML,22,PW,114.947510,-84.145791,13051.249952,32.6583,7.05433,1.0000
WML,23,PW,19.958867,-11.611260,381.091843,51.9241,8.31460,1.0000
WML,24,PW,62.498235,502.510997,4373.480748,30.2639,3.33601,0.8125
WML,25,PW,1.528184,9.200663,9.970488,51.3735,1.31680,0.2500
WML,26,PW,13.243327,20.833953,180.010579,45.6195,5.99101,1.0000
WML,27,PW,20.209230,30.937519,437.316052,0.4517,25.77618,1.0000
WML,28,PW,22.523491,28.895518,530.696303,48.6939,0.56377,0.1250
WML,29,PW,109.885610,969.869652,12947.865585,26.5751,8.76045,1.0000
WML,30,PW,4.877194,-6.365276,17.079231,51.3480,3.27084,1.0000
WML,31,PW,97.287040,1374.169782,10656.492037,39.1281,9.23174,1.0000
WML,32,WML,44.243157,-143.011441,1823.242983,0.4027,7.80408,1.0000
WML,33,WML,318.692814,9441.247383,110360.933187,0.3682,94.97194,1.0000
WML,34,WML,207.586236,5045.924358,47761.465819,0.3681,203.76312,1.0000
WML,35,WML,43.882013,30.835622,1952.132870,0.6876,8.90896,1.0000
WML,36,WML,159.963134,246.486553,25811.411193,0.3807,16.90150,1.0000
WML,37,WML,13.843181,35.156002,224.542385,33.2473,90.95088,1.0000
WML,38,WML,27.640351,345.057127,1055.398829,4.9274,77.85801,1.0000
WML,39,WML,3.928400,12.736427,26.961217,48.0607,0.71590,1.0000
WML,40,WML,5.136686,28.697157,52.185978,53.3286,0.21074,0.0000
WML,41,WML,6.658894,41.188896,81.628399,49.4607,0.42217,0.0000
WML,42,WML,5.361575,53.889273,77.582587,6.5459,11.53421,1.0000
WML,43,WML,5.319798,18.988345,41.487081,46.8850,0.69016,0.9375
WML,44,WML,7.057040,-17.904141,32.061790,45.0088,18.76621,0.9375
WML,45,WML,5.446675,-46.886216,-18.620089,53.8489,0.32858,0.0000
WML,46,WML,5.718011,83.560762,110.825734,52.6331,0.34459,1.0000
WML,47,WML,23.431743,626.203698,1055.146379,9.6651,84.92632,1.0000
WML,48,WML,2.739270,15.311486,19.991530,50.7779,1.12519,0.6250
WML,49,WML,6.772214,4.922783,49.157798,46.0942,5.74250,1.0000
WML,50,WML,19.804968,3.093032,388.456384,3.9664,32.77469,1.0000
WML,51,WML,8.962852,-0.352275,79.078635,41.8319,1.68676,1.0000
WML,52,WML,2.853347,5.527206,13.116987,54.4790,0.67173,0.0000
WML,53,WML,3.608845,24.259517,35.546428,49.7859,0.48313,0.0000
WML,54,WML,8.038375,-21.694813,36.474514,4.4371,20.78126,1.0000
WML,55,WML,100.226599,132.746079,10063.652978,0.3988,9.78299,1.0000
WML,56,WML,4.330526,-6.933200,5.195640,52.9532,0.96102,1.0000
WML,57,WML,113.226353,400.546632,13103.568575,32.8152,1.94877,1.0000
WML,58,WML,14.629745,27.932164,238.318496,43.5570,2.09805,1.0000
WML,59,WML,1.940759,7.341956,10.213658,33.0574,11.11830,1.0000
WML,60,WML,5.814143,-29.118697,-10.246506,45.0085,2.59094,0.8750
WML,61,WML,5.762307,-16.227240,4.507778,48.2827,0.53241,1.0000
WML,62,WML,107.305246,116.685592,11613.512105,0.3699,27.06574,1.0000
WML,63,WML,5.301000,12.741542,24.764853,24.2923,16.50034,1.0000
