ckpt,c,state,state_source,N_state,z2_dim0,z2_dim1,z2_dim2,z2_dim3,z2_dim4,z2_dim5
PW,0.1,0,PW,-0.084434,-0.684344,-0.045057,-0.225353,0.248458,0.701127,-0.079263
PW,0.1,1,PW,2.851760,0.574598,-0.047412,0.451112,0.818040,0.799706,0.255716
PW,0.1,2,PW,-0.760935,-0.059643,0.446677,2.275795,-2.941723,-0.716179,0.234139
PW,0.1,3,PW,1.717929,2.005929,0.178346,-0.385279,0.620049,-1.135388,0.434271
PW,0.1,4,PW,0.034153,-2.144215,-0.117039,0.112248,1.828914,0.474743,-0.120498
PW,0.1,5,PW,1.299990,2.999555,1.409617,0.157265,-3.802964,1.357907,-0.821389
PW,0.1,6,PW,-0.504001,-0.551621,0.536701,0.756599,-0.269143,-0.460284,-0.516252
PW,0.1,7,PW,7.739201,2.329199,2.843113,3.448051,-0.350097,0.000186,-0.531250
PW,0.1,8,PW,-5.271817,-0.336575,-0.739408,-0.284695,-0.766357,-0.447940,-2.696841
PW,0.1,9,PW,-0.698149,-0.837301,-0.968561,-1.333175,-0.271533,-0.492375,3.204795
PW,0.1,10,PW,0.533003,-0.505434,-0.009146,2.008866,-1.811593,0.456121,0.394189
PW,0.1,11,PW,-3.911202,-0.804077,-1.511533,1.043881,-0.881389,-1.159221,-0.598863
PW,0.1,12,PW,-1.777274,-1.566621,0.165870,-0.228299,-1.459463,1.377541,-0.066301
PW,0.1,13,PW,5.318443,1.717267,0.317090,7.526945,-0.992708,-2.360586,-0.889565
PW,0.1,14,PW,10.052208,0.539147,0.642811,-0.196615,9.317099,0.800038,-1.050272
PW,0.1,15,PW,-1.310317,-3.189055,0.830591,1.121972,-0.666714,0.475185,0.117703
PW,0.1,16,PW,3.459817,-0.378100,-0.040708,0.229638,0.746792,2.847803,0.054392
PW,0.1,17,PW,-5.732774,-0.690082,-0.939621,0.173739,-0.187744,-3.395701,-0.693366
PW,0.1,18,PW,-4.134527,0.027041,-0.167117,-0.365153,-2.245182,-0.758894,-0.625222
PW,0.1,19,PW,-4.364796,-0.515580,-1.652947,-3.028226,-0.743540,0.815296,0.760201
PW,0.1,20,PW,2.683640,0.664286,0.056905,0.547481,-0.265915,1.837452,-0.156569
PW,0.1,21,PW,14.298829,1.747263,-1.091234,-0.517721,19.932422,-3.060034,-2.711867
PW,0.1,22,PW,-1.929663,-0.121009,0.163311,-0.710368,-0.748146,0.446629,-0.960081
PW,0.1,23,PW,3.265049,0.712866,0.926225,0.401748,0.000893,1.311683,-0.088366
PW,0.1,24,PW,0.715027,0.218049,0.685688,1.127501,-0.673930,0.281099,-0.923380
PW,0.1,25,PW,2.708745,2.287494,0.793151,0.469023,0.904057,-1.164416,-0.580564
PW,0.1,26,PW,-0.170068,1.427249,0.230817,-0.414313,-2.350680,1.015864,-0.079004
PW,0.1,27,PW,-147.655265,-75.715604,0.524356,-64.765600,33.891037,-23.836319,-17.753136
PW,0.1,28,PW,27.398807,0.338257,4.158112,4.309248,11.920964,-0.743525,7.415751
PW,0.1,29,PW,-1.990944,1.049822,-3.229284,-0.457778,-0.335604,0.411165,0.570734
PW,0.1,30,PW,-1.995103,-0.456636,-1.437214,1.659352,-2.268601,-0.024682,0.532677
PW,0.1,31,PW,-0.562412,1.775547,1.858667,-0.616191,1.036916,-3.585425,-1.031926
PW,0.1,32,WML,33.042609,-0.460689,9.582833,7.181470,-0.151011,9.670629,7.219377
PW,0.1,33,WML,3.739458,2.778193,0.345750,-2.776108,2.446603,-0.620222,1.565242
PW,0.1,34,WML,7.620905,0.656940,0.306203,1.203692,4.517723,3.571503,-2.635156
PW,0.1,35,WML,-164.152242,33.912916,-58.123607,-45.077752,-7.497358,-37.824814,-49.541628
PW,0.1,36,WML,-0.028343,0.289261,0.028817,0.247808,0.009523,-0.549930,-0.053822
PW,0.1,37,WML,-5.515722,-4.505058,0.676707,-0.035620,-3.302827,1.879635,-0.228558
PW,0.1,38,WML,-58.662266,-4.354083,-33.923704,-6.909719,19.837326,-50.517888,17.205801
PW,0.1,39,WML,0.273153,0.757646,0.731942,-4.595121,-0.122354,1.531671,1.969369
PW,0.1,40,WML,0.159528,0.584216,-1.496942,-0.215871,1.803453,-0.366582,-0.148746
PW,0.1,41,WML,-11.985529,-1.214432,-11.221075,1.305714,0.044789,-0.308940,-0.591585
PW,0.1,42,WML,271.208480,88.050493,22.891707,-1.376221,75.680560,46.112470,39.849471
PW,0.1,43,WML,-1.364415,-1.653495,-3.501812,-0.344665,1.684673,1.671140,0.779745
PW,0.1,44,WML,0.025420,-0.805461,0.979973,-3.663239,2.862009,-1.215847,1.867986
PW,0.1,45,WML,0.229066,-0.419875,0.148824,0.604945,-1.355642,0.159043,1.091770
