ckpt,state,state_source,k,q_phi,qhat_A,qhat_B,qhat_pooled,se_A,se_B,traj_sd_pooled,n_rollouts,horizon,n_done,base_clipped_coords
PW,0,PW,0,77.741714,76.384380,76.975181,76.679780,0.351535,0.264032,0.902604,16,500,0.000,0
PW,0,PW,1,77.705276,76.363904,75.971182,76.167543,0.332236,0.230803,0.807521,16,500,0.000,0
PW,0,PW,2,77.701805,76.668880,76.177089,76.422984,0.197105,0.399776,0.897886,16,500,0.000,0
PW,0,PW,3,77.757301,76.041080,75.745240,75.893160,0.469171,0.299343,1.086120,16,500,0.000,0
PW,0,PW,4,77.735306,76.568249,76.467731,76.517990,0.221976,0.240116,0.633953,16,500,0.000,0
PW,0,PW,5,77.780594,75.629353,76.429312,76.029332,0.240101,0.249109,0.785840,16,500,0.000,0
PW,0,PW,6,77.754868,76.568770,76.216380,76.392575,0.448888,0.241750,1.001784,16,500,0.000,0
PW,0,PW,7,77.732864,76.337798,75.632678,75.985238,0.218093,0.495283,1.107233,16,500,0.000,0
PW,0,PW,8,77.651932,76.415556,76.285607,76.350582,0.158761,0.435673,0.898460,16,500,0.000,0
PW,0,PW,9,77.715912,75.949987,76.867733,76.408860,0.426597,0.231017,1.050360,16,500,0.000,0
PW,0,PW,10,77.739655,76.275304,75.314138,75.794721,0.501800,0.506785,1.464670,16,500,0.000,0
PW,0,PW,11,77.771873,76.552001,76.438185,76.495093,0.350100,0.394636,1.021014,16,500,0.000,0
PW,0,PW,12,77.720047,76.501690,75.899302,76.200496,0.390952,0.477702,1.232610,16,500,0.000,0
PW,0,PW,13,77.723511,76.705503,76.166154,76.435828,0.228143,0.144334,0.591324,16,500,0.000,0
PW,0,PW,14,77.730881,75.551215,76.491841,76.021528,0.370178,0.352205,1.100292,16,500,0.000,0
PW,0,PW,15,77.720322,76.563310,76.055297,76.309303,0.369595,0.318923,0.979041,16,500,0.000,0
PW,1,PW,0,83.782463,82.448557,81.733778,82.091167,0.189035,0.483551,1.068918,16,500,0.000,0
PW,1,PW,1,83.772514,82.348413,82.201285,82.274849,0.383805,0.407191,1.083845,16,500,0.000,0
PW,1,PW,2,83.816833,82.026468,82.368940,82.197704,0.366169,0.183124,0.810577,16,500,0.000,0
PW,1,PW,3,83.600830,81.099145,80.976956,81.038051,0.371934,0.282643,0.904808,16,500,0.000,0
PW,1,PW,4,83.715408,82.131830,82.330034,82.230932,0.293899,0.206518,0.701551,16,500,0.000,0
PW,1,PW,5,83.819443,82.382275,82.292201,82.337238,0.338863,0.327177,0.911311,16,500,0.000,0
PW,1,PW,6,83.815018,82.627359,82.675775,82.651567,0.296740,0.206582,0.699062,16,500,0.000,0
PW,1,PW,7,83.759003,82.345281,82.484251,82.414766,0.371195,0.110816,0.751928,16,500,0.000,0
PW,1,PW,8,83.798630,82.015931,82.501197,82.258564,0.250638,0.333718,0.844449,16,500,0.000,0
PW,1,PW,9,83.767044,82.017474,82.298089,82.157782,0.373259,0.481305,1.185740,16,500,0.000,0
PW,1,PW,10,83.727173,82.386023,82.861961,82.623992,0.224945,0.262178,0.711288,16,500,0.000,0
PW,1,PW,11,83.698166,82.299333,81.553085,81.926209,0.234071,0.357439,0.911059,16,500,0.000,0
PW,1,PW,12,83.766281,81.824301,82.014453,81.919377,0.180443,0.419980,0.888648,16,500,0.000,0
PW,1,PW,13,83.687775,82.048418,82.048464,82.048441,0.213836,0.252328,0.639069,16,500,0.000,0
PW,1,PW,14,83.851006,81.742928,81.568742,81.655835,0.323882,0.519610,1.186463,16,500,0.000,0
PW,1,PW,15,83.781822,82.405443,82.067603,82.236523,0.233236,0.258845,0.695458,16,500,0.000,0
PW,2,PW,0,79.383942,77.580540,78.057411,77.818975,0.670584,0.537338,1.678509,16,500,0.000,0
PW,2,PW,1,79.413765,78.784368,78.612808,78.698588,0.302907,0.334492,0.876411,16,500,0.000,0
PW,2,PW,2,79.610565,78.398033,78.661655,78.529844,0.445977,0.478174,1.270709,16,500,0.000,0
PW,2,PW,3,79.563133,78.449759,78.771832,78.610795,0.295028,0.323711,0.862455,16,500,0.000,0
PW,2,PW,4,79.440613,78.746897,78.127770,78.437334,0.205731,0.412176,0.945772,16,500,0.000,0
PW,2,PW,5,79.627899,78.535129,79.154400,78.844764,0.298992,0.274922,0.847458,16,500,0.000,0
PW,2,PW,6,79.334503,78.360458,78.584909,78.472684,0.508946,0.281129,1.129392,16,500,0.000,0
PW,2,PW,7,79.417648,78.327686,78.624156,78.475921,0.385650,0.270438,0.922890,16,500,0.000,0
PW,2,PW,8,79.508438,78.025149,78.906732,78.465940,0.660139,0.443992,1.603161,16,500,0.000,0
PW,2,PW,9,79.460510,77.928451,77.746872,77.837661,0.402090,0.392222,1.089364,16,500,0.000,0
PW,2,PW,10,79.393959,78.284249,78.171620,78.227935,0.263952,0.328369,0.816112,16,500,0.000,0
PW,2,PW,11,79.443192,78.143552,77.157517,77.650535,0.378635,0.552197,1.390278,16,500,0.000,0
PW,2,PW,12,79.389359,78.657812,78.890494,78.774153,0.355537,0.282403,0.885491,16,500,0.000,0
