task,stat,population,ratio,lo,hi
walker,eps01_over_eps05,own,0.7301682030223567,0.6942062247345874,1.1440164540736801
walker,eps01_over_eps05,neutral,0.1475071195426874,0.07924328917068757,0.22274305381651402
g1,eps01_over_eps05,own,1.0360422971646206,0.9500447599354225,1.1856142234648874
g1,eps01_over_eps05,neutral,0.4758167301011211,0.3224899522851908,0.7250527924162011
leap,eps01_over_eps05,own,1.1783531813158716,0.9761958965334928,1.4176467095369283
leap,eps01_over_eps05,neutral,1.3862472445140233,0.6023014581552524,2.7577534797151104
walker,WML_eps05_over_PW,own,1.295323091596127,0.9720884097414453,1.5765692463379075
walker,WML_eps05_over_PW,neutral,22.95153330007218,13.169741122735092,33.400093502010186
walker,WML_eps01_over_PW,own,0.9956213393981982,0.9289850627609472,1.2066533010363183
walker,WML_eps01_over_PW,neutral,2.4325229023623938,2.150133567869405,4.5751371295313525
g1,WML_eps05_over_PW,own,1.0271251329984847,0.9124733413600224,1.1236527638918465
g1,WML_eps05_over_PW,neutral,1.9990748968024754,1.6393598128904643,2.0717637301742102
g1,WML_eps01_over_PW,own,0.988020616354302,0.8668905165398553,1.3322186991058063
g1,WML_eps01_over_PW,neutral,0.9653940208509953,0.6585857183146862,1.4749317510527564
leap,WML_eps05_over_PW,own,0.8741290795614415,0.5562245026497864,1.173357025011981
leap,WML_eps05_over_PW,neutral,2.6108216313732826,1.5326826578088424,4.454581500273704
leap,WML_eps01_over_PW,own,1.0004737009136149,0.7743972458708981,1.2627717631265238
leap,WML_eps01_over_PW,neutral,2.9528855421185187,1.762198946992547,8.0736270721799
