task,cell,proxy_on_arm,on_arm_median_sigma,neutral_median_sigma,ratio_neutral_over_on_arm,on_arm_sat95,on_arm_sat99,neutral_sat95,neutral_sat99,logged_pi_sigma_mean
walker,PW_ent,False,0.4783101826906204,0.449945867061615,0.9406989090856299,0.1449848541081426,0.02004709410185549,0.2242243822430725,0.08612439966088847,0.5296703279018402
walker,PW_noent,True,0.3038049042224884,0.3375234603881836,1.110987530803656,0.566849005612314,0.4191900876468349,0.5696920940181815,0.41338793031182175,0.29581812024116516
walker,WML_ent,True,1.630918562412262,2.0152225494384766,1.2356365277109838,0.5907197575417036,0.445257527567973,0.6331822522320192,0.5029816290117592,0.47785402834415436
walker,WML_noent,False,0.21822939068078995,7.309615135192871,33.49509941071523,0.3978058543702737,0.2684081381849047,0.7895020010572518,0.71505975773661,2.900547742843628
g1,PW_ent,False,0.2695188820362091,0.2895500361919403,1.0743218953877973,0.07028468079931564,0.025985599178787858,0.15853133421380444,0.06596930361244871,0.30677495896816254
g1,PW_noent,True,0.2535876929759979,0.26345886290073395,1.0389260606809902,0.3929481560501943,0.25874478649632277,0.3846396488434047,0.247976218300384,0.2561972737312317
g1,WML_ent,True,0.3826034218072891,0.5737229585647583,1.4995238564639206,0.33462570534604874,0.21220439151729892,0.36460910778481526,0.23694998904261977,0.3910135328769684
g1,WML_noent,False,0.17594094574451447,0.49686986207962036,2.824071792822632,0.2040446759584079,0.11576178521768452,0.3509692098830578,0.23650522598051396,0.3920060098171234
leap,PW_ent,False,0.22421282529830933,0.599929541349411,2.6757146499145192,0.08701821110996091,0.018744717041632844,0.3078972560036074,0.17540371354805806,0.2712836265563965
leap,WML_noent,False,0.12245764583349228,3.2913031578063965,26.877073582499182,0.1772670602173858,0.07942271953220238,0.6810055547447748,0.5812788189242623,0.4900513142347336
