ckpt,arm,sigma_real_med,sigma_pad_med,ratio,contaminated
WalkerRun_pathwise_fa_pad16_s0_final,A,0.44873930513858795,0.8673512637615204,1.9328622517112668,True
WalkerRun_pathwise_fa_pad16_s1_final,A,0.4963742047548294,0.8701866865158081,1.7530860350521502,True
WalkerRun_pathwise_fa_pad16_s2_final,A,0.4806874543428421,0.871774435043335,1.8135993090045508,True
WalkerRun_pathwise_fa_pad16_s3_final,A,0.4995734989643097,0.8711143434047699,1.7437160802378824,True
WalkerRun_pathwise_fa_pad16_s4_final,A,0.45685791969299316,0.8696807026863098,1.9036130604252894,True
WalkerRun_weighted_mle_pad16_s0_final,B,0.16315998136997223,0.9100411832332611,5.5776004360389315,True
WalkerRun_weighted_mle_pad16_s1_final,B,0.17842114716768265,0.8179290592670441,4.584260735070508,True
WalkerRun_weighted_mle_pad16_s2_final,B,0.22261032462120056,0.9654852449893951,4.337109011598135,True
WalkerRun_weighted_mle_pad16_s3_final,B,0.2227277308702469,0.8392302095890045,3.7679646189989233,True
WalkerRun_weighted_mle_pad16_s4_final,B,0.24785451591014862,0.9011100232601166,3.635640932145791,True
