task,pair,half,ratio,ci_lo,ci_hi,n_seeds_gt1,excludes_1
walker,entropy_off,PW_states,29.264474128494417,17.136264499771688,55.99233512119069,8,True
walker,entropy_off,WML_states,19.379150587737684,9.948714948187332,20.836306780097615,8,True
walker,entropy_on,PW_states,4.977839094436534,2.7521183504248454,5.933663995879262,8,True
walker,entropy_on,WML_states,4.235010946202143,3.1037670518952365,6.02630070405768,8,True
walker,baseline,PW_states,17.927659062792547,11.393105203952002,34.97275236209324,8,True
walker,baseline,WML_states,14.61484378279745,7.139971591542406,15.113423585114258,8,True
g1,entropy_off,PW_states,2.004006644544002,1.5806052716939973,2.2003883825931703,8,True
g1,entropy_off,WML_states,1.9084343709415095,1.6941211064103172,2.2583581395094816,8,True
g1,entropy_on,PW_states,1.9334356710393454,1.6323128449144273,2.8269370303739283,8,True
g1,entropy_on,WML_states,2.026244140615458,1.7874485856706706,2.967921563084079,8,True
g1,baseline,PW_states,1.836174399303585,1.604351719232366,2.199856414800936,8,True
g1,baseline,WML_states,1.7944869950203561,1.314290381911712,2.0435204433064906,8,True
leap,entropy_off,PW_states,3.4503858796419924,1.6309437156176882,5.479482746524464,8,True
leap,entropy_off,WML_states,2.0605971445465356,1.4121889068111437,3.567806237526104,8,True
leap,entropy_on,PW_states,4.582473798940457,4.198767017544719,11.416494810309272,8,True
leap,entropy_on,WML_states,5.680998288044859,3.026355938735834,11.087556909246594,8,True
leap,baseline,PW_states,8.126903712526158,2.564157513685397,10.225862991123469,8,True
leap,baseline,WML_states,4.767363512480141,2.1504814503492518,5.272078860781496,8,True
