tag,env,mode,seed,d,B,epoch,minibatch,resid_full,R_theta_full,cos_full_centered_full,cos_uniform_centered_full,resid_meanhead,R_theta_meanhead,cos_full_centered_meanhead,cos_uniform_centered_meanhead,resid_scalehead,R_theta_scalehead,cos_full_centered_scalehead,cos_uniform_centered_scalehead,resid_trunk,R_theta_trunk,cos_full_centered_trunk,cos_uniform_centered_trunk,meanout_full,meanout_uniform,meanout_centered,kl_full,kl_uniform,kl_centered,R_meanout,R_kl,resid_meanout,cos_meanout_full_centered,kl_full_fd_check
G1JoystickFlatTerrain_weighted_mle_s103_final,G1JoystickFlatTerrain,weighted_mle,103,29,8192,0,0,3.529195412199962e-08,0.7188670070924964,0.8194514358559597,0.03764505188710255,3.4305888987854074e-08,0.2332579441909536,0.9736457891038036,-0.018696005368650195,3.3223443540642044e-08,3.7975443658943764,0.2642576114726468,0.010654030381636415,3.576323632649767e-08,0.8885805567934435,0.7638746134747522,0.056360714153728064,376.6573049623911,153.75946193058766,340.0768962268836,383.23921091081525,157.81570606180188,342.77492899790957,0.4521314550812825,0.4604062103467429,5.229028402356493e-09,0.6757814574771547,383.1757738490389
G1JoystickFlatTerrain_weighted_mle_s103_final,G1JoystickFlatTerrain,weighted_mle,103,29,8192,0,1,3.4652414468193615e-08,0.7969077297900752,0.7982307992245988,0.06733270445915372,3.480177578122257e-08,0.24580143486792497,0.9711460537320348,0.003784794480294808,3.217809897445214e-08,4.787821812766828,0.2440573535843912,0.042576127653452644,3.469931403024028e-08,1.00531037668895,0.7383737755615427,0.09518492413120587,405.7744428045986,180.84391995426424,352.30926044979725,412.84613501516674,185.5850593795401,354.82811527194787,0.5133101517779527,0.5230280560978186,4.20934117743214e-09,0.6559866136344326,412.756120450721
G1JoystickFlatTerrain_weighted_mle_s103_final,G1JoystickFlatTerrain,weighted_mle,103,29,8192,0,2,3.468656274192002e-08,0.7835011234354485,0.8020794304603277,0.06395574059956785,3.567778253311903e-08,0.2552993293003119,0.9690615780240553,0.009069823096115514,3.18510416679695e-08,4.130164301979901,0.2675285130358266,0.035354136039659,3.439415480485423e-08,0.9848643574094315,0.7422757839996077,0.08804769830812069,387.2372705362501,171.88614933858207,335.74282849521535,393.4306645851052,176.23979089262664,337.8392695155771,0.5119577687153222,0.5216675703370239,4.584713037809189e-09,0.6350624793582367,393.3537611420028
G1JoystickFlatTerrain_weighted_mle_s103_final,G1JoystickFlatTerrain,weighted_mle,103,29,8192,0,3,3.549321077797037e-08,0.7630020893510087,0.8046380889506727,0.04326320635823629,3.669665004903353e-08,0.2523788649335306,0.9693663415931069,-0.016195103487709556,3.390967578015234e-08,3.9512806504154363,0.3186588937638709,0.08197052055225237,3.507734324275755e-08,0.9474745807490976,0.7459164787549882,0.062314505973421946,375.5917232639805,162.1520980998954,333.33179038330667,381.8226902608793,165.9979634923649,335.8589743816185,0.48645854604336447,0.49424900376117337,4.46326602639124e-09,0.6423538603005776,381.751716151515
G1JoystickFlatTerrain_weighted_mle_s103_final,G1JoystickFlatTerrain,weighted_mle,103,29,8192,0,4,3.579303533394881e-08,0.7023790853909503,0.8280937250548546,0.0514911819506969,3.643462315734111e-08,0.23039216377695623,0.974037001132148,-0.04166674048431638,3.855353321199408e-08,3.34504476768326,0.2667531979248829,-0.02223565021990227,3.5437427109488904e-08,0.8802165282954167,0.7737226391530949,0.08118333147687551,379.07807884575624,151.87091987497013,341.89455289379544,385.1100103078937,155.4261005253277,344.44954428816453,0.44420397631238706,0.4512303851251394,5.1860136041780275e-09,0.6912325119501603,385.05025972586634
G1JoystickFlatTerrain_weighted_mle_s103_final,G1JoystickFlatTerrain,weighted_mle,103,29,8192,0,5,3.5460858939707064e-08,0.5874602684527145,0.8688346950600143,0.05038712006354293,3.670967264783666e-08,0.19975595135391291,0.9805622949788719,-0.008734412315716616,3.494796117097033e-08,2.714161076531727,0.36454633950549825,0.022945337182771967,3.4854282469635075e-08,0.7405908462997042,0.8188244464967238,0.07239768698847132,365.3526570207086,125.01680379460419,339.262020892109,370.31173682094516,127.79180088166234,341.6485315569884,0.3684963128671607,0.3740446367478262,4.736054143775038e-09,0.7288929039328095,370.2622478232435
G1JoystickFlatTerrain_weighted_mle_s103_final,G1JoystickFlatTerrain,weighted_mle,103,29,8192,0,6,3.5370098024180286e-08,0.6461083427316383,0.8486961922172713,0.05458236573685339,3.57586994268981e-08,0.217691483362412,0.9770912006365593,-0.002531131457787545,3.8314721512023e-08,3.4381622461452004,0.3279097183466619,0.055709180095660615,3.509699567084564e-08,0.8090966079230208,0.7963625749765557,0.07685391649448237,373.7466016253567,135.2791984808129,340.9408137632826,378.7345208962086,138.63209633906243,343.0459351159104,0.39678206016935746,0.40412108743460307,4.778813679922935e-09,0.7115667010648163,378.68348612059964
G1JoystickFlatTerrain_weighted_mle_s103_final,G1JoystickFlatTerrain,weighted_mle,103,29,8192,0,7,3.541050856238629e-08,0.7036589546461259,0.82906269265144,0.058980452460677395,3.497435093550318e-08,0.23648986690326362,0.9731494568943613,-0.0006282946277286111,3.388830025122953e-08,3.462032758591275,0.23452600331162637,-0.047869587577368124,3.563641267676161e-08,0.882790424321168,0.7737407095644252,0.084255157739015,354.52946797829344,144.67778683106263,313.91586728898744,359.57810613275933,148.14031897022335,315.71968038753306,0.4608807706361444,0.469214712204151,5.3391065161988755e-09,0.6856062622932521,359.5242524817549
G1JoystickFlatTerrain_weighted_mle_s103_final,G1JoystickFlatTerrain,weighted_mle,103,29,8192,1,0,3.507439805630056e-08,0.7327651472471568,0.8173002107825653,0.05180350136445178,3.5308561206009395e-08,0.24097338777209304,0.9721389220478192,-0.002595929303863484,3.424249325266629e-08,3.5559154988913253,0.32168183733677064,0.05794732928454185,3.500208863063608e-08,0.930049819435986,0.7550998400306376,0.07343125721714698,375.1558800056912,158.6062146289831,331.11546530569575,380.33442822120423,162.393600164842,332.88748825499687,0.47900575855782696,0.4878332947150166,4.536266867983973e-09,0.6573642672062926,380.26363457899294
G1JoystickFlatTerrain_weighted_mle_s103_final,G1JoystickFlatTerrain,weighted_mle,103,29,8192,1,1,3.537524887831958e-08,0.6591686859843958,0.8433885674496939,0.050594369159733976,3.6282987399327066e-08,0.2238372111938363,0.9758751140116226,0.002192701442774843,3.5707368411675636e-08,3.2644535599990645,0.294395553817122,0.0017166362052067,3.495994891581348e-08,0.8229463100653097,0.7900918780794937,0.07055944754680431,350.685568031931,133.88344460694768,317.66741472675096,356.8695650043717,137.54409629558162,320.32277190347924,0.4214579097516508,0.4293921892541141,4.707405068240847e-09,0.698126231665404,356.82243533416397
