checkpoint,env,mode,seed,action_dim,action_pad,actor_out_dim,critic_action_dim,M,eps_e,min_std,with_eta,alpha_entropy,alpha_kl,eta_final,ess_final,final_return,obs_dim,critic_obs_dim,max_episode_steps,path
G1JoystickFlatTerrain_pathwise_fa_s101_final,G1JoystickFlatTerrain,pathwise,101,29,0,29,29,32,0.5,0.1,False,0.00020752238924615085,0.004297551233321428,0.0,0.0,29.791976928710938,103,103,1000,exports/G1JoystickFlatTerrain_pathwise_fa_s101_final
G1JoystickFlatTerrain_pathwise_fa_s102_final,G1JoystickFlatTerrain,pathwise,102,29,0,29,29,32,0.5,0.1,False,0.00020752238924615085,0.004399615805596113,0.0,0.0,28.134492874145508,103,103,1000,exports/G1JoystickFlatTerrain_pathwise_fa_s102_final
G1JoystickFlatTerrain_pathwise_fa_s103_final,G1JoystickFlatTerrain,pathwise,103,29,0,29,29,32,0.5,0.1,False,0.00020752238924615085,0.0045029898174107075,0.0,0.0,33.471954345703125,103,103,1000,exports/G1JoystickFlatTerrain_pathwise_fa_s103_final
G1JoystickFlatTerrain_pathwise_fa_s104_final,G1JoystickFlatTerrain,pathwise,104,29,0,29,29,32,0.5,0.1,False,0.00020752238924615085,0.004470768850296736,0.0,0.0,29.318801879882812,103,103,1000,exports/G1JoystickFlatTerrain_pathwise_fa_s104_final
G1JoystickFlatTerrain_pathwise_fa_s105_final,G1JoystickFlatTerrain,pathwise,105,29,0,29,29,32,0.5,0.1,False,0.00020752238924615085,0.004524787422269583,0.0,0.0,30.039525985717773,103,103,1000,exports/G1JoystickFlatTerrain_pathwise_fa_s105_final
G1JoystickFlatTerrain_pathwise_fa_s106_final,G1JoystickFlatTerrain,pathwise,106,29,0,29,29,32,0.5,0.1,False,0.00020752238924615085,0.00441582640632987,0.0,0.0,28.9632568359375,103,103,1000,exports/G1JoystickFlatTerrain_pathwise_fa_s106_final
G1JoystickFlatTerrain_pathwise_fa_s107_final,G1JoystickFlatTerrain,pathwise,107,29,0,29,29,32,0.5,0.1,False,0.00020752238924615085,0.004208617378026247,0.0,0.0,32.16105270385742,103,103,1000,exports/G1JoystickFlatTerrain_pathwise_fa_s107_final
G1JoystickFlatTerrain_pathwise_fa_s108_final,G1JoystickFlatTerrain,pathwise,108,29,0,29,29,32,0.5,0.1,False,0.00020752238924615085,0.0041904267854988575,0.0,0.0,29.26029396057129,103,103,1000,exports/G1JoystickFlatTerrain_pathwise_fa_s108_final
G1JoystickFlatTerrain_pathwise_fa_s201_final,G1JoystickFlatTerrain,pathwise,201,29,0,29,29,32,0.5,0.1,False,0.00020752238924615085,0.012507792562246323,0.0,0.0,-2.203486919403076,103,103,1000,exports/G1JoystickFlatTerrain_pathwise_fa_s201_final
G1JoystickFlatTerrain_weighted_mle_s101_final,G1JoystickFlatTerrain,weighted_mle,101,29,0,29,29,32,0.5,0.1,True,0.00020752238924615085,0.5056033134460449,0.003707466647028923,18.947811126708984,9.402726173400879,103,103,1000,exports/G1JoystickFlatTerrain_weighted_mle_s101_final
