condition,task,arm,d,seed,state,eta,eta_src,n_ubar,n_c,n_lin,n_v,R_exact,R_linear,norm_ratio,cosine_linear,residual_linear,cos_ubar_c,cos_v_c,cross_fraction,direction_change,logit_spread,q_sd,ess,w_max,n_ubar_raw
g1,g1,A,29,101,0,0.009918792172553094,recomputed_counterfactual,0.7799784025558364,1.4253316226854467,1.3633092562757578,1.5370888250124752,0.5472259158088019,0.5721214016297248,1.0454939817382842,0.9086026300083764,0.4203974847658826,-0.12471329160156974,0.8640085902086991,-0.10503831534479097,0.13599140979130087,1.1339731762573206,0.011247644264546277,14.823942543039285,0.15962323562982805,0.7799784025558364
g1,g1,A,29,101,16,0.009918792172553094,recomputed_counterfactual,1.1377529652652618,3.632973654023015,1.9199392900354484,4.117450931539614,0.31317402040750963,0.5925984072359197,1.8922336101336028,0.8035857588793516,0.6556945339915917,0.2976250774641951,0.9645767574357301,0.1697665282061572,0.035423242564269874,1.5637880241529092,0.015510888413500146,3.2660256712913918,0.5208480235604366,1.137752965265259
g1,g1,A,29,101,32,0.009918792172553094,recomputed_counterfactual,1.13876477078738,1.4936409023301285,2.1785072474790392,1.7159108073919136,0.7624086679804413,0.5227270976971189,0.6856258587424388,0.7604496687849258,0.9534256493741238,-0.1714964180643411,0.7566516963056169,-0.1653741683860751,0.2433483036943831,1.9412853822187885,0.019255206253843457,9.79229391782015,0.20148511848393966,1.13876477078738
g1,g1,A,29,101,48,0.009918792172553094,recomputed_counterfactual,0.7165419838505306,1.9028364867114922,2.0738059806689457,2.109312803642728,0.3765651903640399,0.3455202610704453,0.9175576232530578,0.9066067954935662,0.46004578053071815,0.11550792777324619,0.9413505493350789,0.07618884859897176,0.05864945066492111,1.3272473251239485,0.013164690379481453,11.537372156499256,0.2229547928235119,0.716541983850529
g1,g1,A,29,101,64,0.009918792172553094,recomputed_counterfactual,1.0528046971074243,1.0515466594494498,1.1228168196199422,1.3624380800703964,1.0011963688398116,0.9376459977352729,0.9365255677274652,0.9701326096772719,0.26149005802302366,-0.16164719960924742,0.6469018602159398,-0.16164708406480144,0.35309813978406024,0.7576424331945588,0.007514897835964272,21.2716259843711,0.09355933389270185,1.0528046971074239
g1,g1,A,29,101,80,0.009918792172553094,recomputed_counterfactual,0.8622210036658206,0.6257310774155511,0.6780781763469681,1.1290452456735558,1.3779417944617083,1.2715657777243612,0.9228007908846869,0.9705451800232338,0.26615118061378273,0.12954025874632888,0.6531389350007982,0.12315692139376516,0.3468610649992018,0.5728379786939495,0.005681860859210682,24.786393870059907,0.07594834745685991,0.8622210036658241
g1,g1,A,29,101,96,0.009918792172553094,recomputed_counterfactual,0.837968148394959,1.6201190772216743,1.9252059968077309,1.925175472291012,0.5172262706957719,0.43526155111920267,0.841530246585157,0.9369280236887247,0.4305339580074011,0.13970310494208427,0.9023519437050174,0.11401468077996176,0.09764805629498263,1.2370725953366222,0.012270265975504832,13.321542014420876,0.1418253739594321,0.83796814839496
g1,g1,A,29,101,112,0.009918792172553094,recomputed_counterfactual,0.9818363098986945,1.0210333388095565,1.2788536888295068,1.3277272965348514,0.9616104318811722,0.7677471773933495,0.7983973051235256,0.9715288424023416,0.36753461184723013,-0.12152361937275126,0.6791432541549858,-0.12143056745765299,0.3208567458450142,0.8843665379430922,0.008771847894217826,21.345816477570136,0.07636020261481163,0.9745093471943597
g1,g1,A,29,101,128,0.009918792172553094,recomputed_counterfactual,0.8290073511474644,2.738539674732517,2.1808827629126686,3.052592943736633,0.30271876606211073,0.3801246748540976,1.2557023794684938,0.707585670992321,0.712183018274667,0.2491930872004558,0.9647937442559067,0.13820585003453598,0.03520625574409331,1.6515700373635718,0.01638157995902501,4.349803940354633,0.4510252118609118,0.829007351147464
g1,g1,A,29,101,145,0.009918792172553094,recomputed_counterfactual,0.9002020541654853,1.3763705235938095,1.3793859190349083,1.4816175357277297,0.654040491810544,0.6526107318789087,0.9978139580805592,0.9089549087008936,0.42719306078924274,-0.20563530059823956,0.8040247735062236,-0.18839716570485102,0.1959752264937764,1.099201699438061,0.0109027532124433,13.390662660234325,0.18119819777609666,0.9002020541654855
g1,g1,A,29,101,161,0.009918792172553094,recomputed_counterfactual,0.8061749514231393,0.717669521380375,0.7651843689683644,0.9610136807864696,1.123323378525827,1.0535695501843374,0.9379040535642571,0.9458442261815013,0.3462165957817927,-0.20863635468203748,0.57176305526661,-0.2072334893770355,0.42823694473339,0.6277456540402103,0.0062264786796482645,22.25996023512824,0.11048226306866438,0.8061749514231419
g1,g1,A,29,101,177,0.009918792172553094,recomputed_counterfactual,1.0383222865718496,1.8580314254770591,2.6196909327544815,2.096329186288914,0.5588292384800199,0.3963529718674509,0.7092559668948113,0.6900347952331576,1.0208322675364303,-0.03519474318033435,0.8688940416305924,-0.029974852760816382,0.13110595836940764,2.391905115225543,0.023724809734388817,6.636620242652934,0.25567241543382313,1.038322286571851
g1,g1,A,29,101,193,0.009918792172553094,recomputed_counterfactual,1.0617616166096178,1.0358854259571768,1.37809244609114,1.278556155232775,1.024979780584813,0.7704574679445183,0.7516806502311507,0.9541793923322845,0.480674174194364,-0.25716398605103685,0.5966406506837952,-0.257085731443293,0.40335934931620476,1.1589214958798795,0.011495101461936885,16.61778988553295,0.11919288433398909,1.0617616166096178
g1,g1,A,29,101,209,0.009918792172553094,recomputed_counterfactual,0.9814799904174614,0.7920605828196233,0.7941630078649071,1.2664467605445915,1.239147625453463,1.2358671717219827,0.997352653012719,0.8858375595734413,0.4784746452941554,0.008505660867900307,0.6320113436292863,0.008313803338107568,0.36798865637071365,0.6617700103155896,0.006563959198348642,20.41217132608659,0.1342503259904064,0.9814799904174613
g1,g1,A,29,101,225,0.009918792172553094,recomputed_counterfactual,0.8118629042895947,0.7655680141139193,1.1295748419439788,1.0350906041424182,1.0604712962416507,0.7187331676860595,0.6777488181267495,0.9291776831989578,0.6595962963254115,-0.1398174240329704,0.6299501044243907,-0.13957677572938676,0.3700498955756093,0.8564508004567176,0.008494957495746924,23.093501844864022,0.07247386215775664,0.8118629042895946
g1,g1,A,29,101,241,0.009918792172553094,recomputed_counterfactual,0.9068721677733291,1.1046916664842656,1.7621332637356895,1.1381617850354293,0.8209278618518707,0.514644485996628,0.6269058584943303,0.9009151276582169,0.8187150439150186,-0.3729976140996152,0.6733932923144226,-0.36585221104779986,0.3266067076855774,1.3143442910567686,0.013036707866173728,17.663185279485198,0.1278270567819157,0.906872167773329
