task,d,arm,x,rho,p,n
hopper,4,A,kl_iqr,-0.4285714285714286,0.2894032248467901,8
hopper,4,A,F_run,0.6227656561948947,0.09910080782353471,8
hopper,4,A,overshoot_run,0.523809523809524,0.1827207505397148,8
hopper,4,A,lag_med,-0.11904761904761905,0.7788857260523796,8
hopper,4,A,sigma_mean_last,0.261904761904762,0.530922861565801,8
hopper,4,A,abs_pred_action_last,0.880952380952381,0.0038503204637324005,8
hopper,4,A,value_loss_last,0.8333333333333335,0.010175540123456752,8
hopper,4,B,kl_iqr,-0.07142857142857144,0.8665262706759088,8
hopper,4,B,F_run,-0.29277002188455997,0.4816178143121546,8
hopper,4,B,overshoot_run,-0.11904761904761905,0.7788857260523796,8
hopper,4,B,lag_med,-0.4761904761904762,0.23293553465009798,8
hopper,4,B,sigma_mean_last,0.023809523809523815,0.9553740118158806,8
hopper,4,B,abs_pred_action_last,0.8571428571428572,0.0065300172547152905,8
hopper,4,B,value_loss_last,0.9523809523809524,0.000260400024387251,8
walker,6,A,kl_iqr,-0.4047619047619048,0.3198886412288163,8
walker,6,A,F_run,0.09639253854237599,0.8203804112381492,8
walker,6,A,overshoot_run,-0.11904761904761905,0.7788857260523796,8
walker,6,A,lag_med,-0.7380952380952381,0.03655276105286081,8
walker,6,A,sigma_mean_last,-0.2142857142857143,0.6103444156452669,8
walker,6,A,abs_pred_action_last,-0.3571428571428572,0.38512064355625614,8
walker,6,A,value_loss_last,0.023809523809523815,0.9553740118158806,8
walker,6,B,kl_iqr,-0.6428571428571429,0.08555889101267325,8
walker,6,B,F_run,0.7759705701987263,0.023598217067471988,8
walker,6,B,overshoot_run,0.4761904761904762,0.23293553465009798,8
walker,6,B,lag_med,-0.8571428571428572,0.0065300172547152905,8
walker,6,B,sigma_mean_last,-0.9761904761904763,3.314396026200098e-05,8
walker,6,B,abs_pred_action_last,-0.3333333333333334,0.4197530864197532,8
walker,6,B,value_loss_last,0.6666666666666669,0.07098765432098755,8
leap,16,A,kl_iqr,-0.19047619047619052,0.6514014957024814,8
leap,16,A,F_run,0.05634361698190111,0.89457909100177,8
leap,16,A,overshoot_run,0.2142857142857143,0.6103444156452669,8
leap,16,A,lag_med,0.07142857142857144,0.8665262706759088,8
leap,16,A,sigma_mean_last,0.07142857142857144,0.8665262706759088,8
leap,16,A,abs_pred_action_last,0.6428571428571429,0.08555889101267325,8
leap,16,A,value_loss_last,0.4523809523809524,0.2604047674368853,8
leap,16,B,kl_iqr,0.261904761904762,0.530922861565801,8
leap,16,B,F_run,0.5773502691896258,0.13397459621556115,8
leap,16,B,overshoot_run,-0.023809523809523815,0.9553740118158806,8
leap,16,B,lag_med,-0.30952380952380953,0.4556448907375822,8
leap,16,B,sigma_mean_last,-0.023809523809523815,0.9553740118158806,8
leap,16,B,abs_pred_action_last,0.7619047619047621,0.028004939153071805,8
leap,16,B,value_loss_last,0.5476190476190477,0.16002564253889653,8
g1,29,A,kl_iqr,-0.4761904761904762,0.23293553465009798,8
g1,29,A,F_run,0.17078251276599335,0.6859547529411324,8
g1,29,A,overshoot_run,0.04761904761904763,0.9108491685195836,8
g1,29,A,lag_med,-0.04761904761904763,0.9108491685195836,8
g1,29,A,sigma_mean_last,0.023809523809523815,0.9553740118158806,8
g1,29,A,abs_pred_action_last,-0.04761904761904763,0.9108491685195836,8
g1,29,A,value_loss_last,-0.04761904761904763,0.9108491685195836,8
g1,29,B,kl_iqr,0.5952380952380953,0.11952980613879269,8
g1,29,B,F_run,-0.10432810619146021,0.8057995960337001,8
g1,29,B,overshoot_run,0.6666666666666669,0.07098765432098755,8
g1,29,B,lag_med,-0.4285714285714286,0.2894032248467901,8
g1,29,B,sigma_mean_last,-0.8333333333333335,0.010175540123456752,8
g1,29,B,abs_pred_action_last,-0.6190476190476191,0.10173303745426478,8
g1,29,B,value_loss_last,0.28571428571428575,0.49272624501695717,8
